,Pubmed accesion code number 1,Locus
310,[''],HV507578
311,[''],HV507577
312,[''],HV507576
313,[''],HV507575
314,[''],FU759532
315,[''],FU759531
316,[''],FU759530
317,[''],FU759529
318,[''],FU759528
319,[''],FU759527
320,[''],FU759526
321,[''],FU759525
322,[''],FU759524
323,[''],FU759523
324,[''],FU759522
325,[''],FU759521
326,[''],FU759520
327,[''],FU759519
328,[''],FU759518
329,[''],FU759473
330,[''],FU759472
331,[''],FU759471
332,[''],FU759470
333,[''],FU759469
334,[''],FU759468
335,[''],FU759467
336,[''],FU759466
337,[''],FU759465
338,[''],FU759464
339,[''],FU759463
340,[''],FU759462
341,[''],FU759461
342,[''],FU759460
343,['37488810'],OQ567725
344,['37488810'],OQ567724
345,['37488810'],OQ567723
346,['37488810'],OQ567722
347,[''],OQ775567
348,[''],OQ775566
349,[''],OQ775565
350,[''],OQ775564
351,[''],OQ775563
352,[''],OQ775562
353,[''],OQ775561
354,[''],OQ775560
355,[''],OQ775559
356,[''],OQ775558
357,[''],OQ775557
358,[''],OQ775556
359,[''],OQ775555
360,[''],OQ775554
361,[''],OQ775553
362,[''],OQ775552
363,[''],OQ775551
364,[''],OQ775550
365,[''],OQ775549
366,[''],OQ775548
367,[''],OQ775547
368,[''],OQ775546
369,[''],OQ775545
370,[''],OQ775544
371,[''],OQ775543
372,[''],OQ775542
373,[''],OQ775541
374,[''],OQ775540
375,[''],OQ775539
376,[''],OQ775538
377,[''],OQ775537
378,[''],OQ775536
379,[''],OQ775535
380,[''],OQ775534
381,[''],OQ775533
382,[''],OQ775532
383,[''],OQ775531
384,[''],OQ775530
385,[''],OQ775529
386,[''],OQ775528
387,[''],OQ775527
388,[''],OQ775526
389,[''],OQ775525
390,[''],OQ775524
391,[''],OQ775523
392,[''],OQ775522
393,[''],OQ775521
394,[''],OQ775520
395,[''],OQ775519
396,[''],OQ775518
397,[''],OQ775517
398,[''],OQ775516
399,[''],OQ775515
400,[''],OQ775514
401,[''],OQ775513
402,[''],OQ775512
403,[''],OQ775511
404,[''],OQ775510
405,[''],OQ775509
406,[''],OQ775508
407,[''],OQ775507
408,[''],OQ775506
409,[''],OQ775505
410,[''],OQ775504
411,[''],OQ775503
412,[''],OQ775502
413,[''],OQ775501
414,[''],OQ775500
415,[''],OQ775499
416,[''],OQ775498
417,[''],OQ775497
418,[''],OQ775496
419,[''],OQ775495
420,[''],OQ775494
421,[''],OQ775493
422,[''],OQ775492
423,[''],OQ775491
424,[''],OQ775490
425,[''],OQ775489
426,[''],OQ775488
427,[''],OQ775487
428,[''],OQ775486
429,[''],OQ775485
430,[''],OQ775484
431,[''],OQ775483
432,[''],OQ775482
433,[''],OQ775481
434,[''],OQ775480
435,[''],OQ775479
436,[''],OQ775478
437,[''],OQ775477
438,[''],OQ775476
439,[''],OQ775475
440,[''],OQ775474
441,[''],OQ775473
