,Pubmed accesion code number 1,Locus
2395,['27767908'],KU561443
2396,['27767908'],KU561442
2397,['27767908'],KU561441
2398,['27767908'],KU561440
2399,['27767908'],KU561439
2400,['27767908'],KU561438
2401,['27767908'],KU561437
2402,['27767908'],KU561436
2403,['27767908'],KU561435
2404,['27767908'],KU561434
2405,['27767908'],KU561433
2406,['27767908'],KU561432
2407,['27767908'],KU561431
2408,['27767908'],KU561430
2409,['27767908'],KU561429
2410,['27767908'],KU561428
2411,['27767908'],KU561427
2412,['28222127'],KX355516
2413,['28222127'],KX355515
2414,['28222127'],KX355514
2415,['28222127'],KX355513
2416,['28222127'],KX355512
2417,['28222127'],KX355511
2418,['28222127'],KX355510
2419,['28222127'],KX355509
2420,['28222127'],KX355508
2421,['28222127'],KX355507
2422,[''],KX355792
2423,[''],KX355791
2424,[''],KX355790
2425,[''],KX355789
2426,[''],KX355788
2427,[''],KX355787
2428,[''],KX355786
2429,[''],KX355785
2430,[''],KX355784
2431,[''],KX355783
2432,[''],KX355782
2433,[''],KX355781
2434,[''],KX355780
2435,[''],KX355779
2436,[''],KX355778
2437,[''],KX355777
2438,[''],KX355776
2439,[''],KX966409
2440,[''],KX966408
2441,[''],KX966407
2442,[''],KX966406
2443,[''],KX966405
2444,[''],KX966404
2445,[''],KX966403
2446,[''],KX966402
2447,[''],KX966401
2448,[''],KX966400
2449,[''],KU747172
2450,[''],KU747171
2451,[''],KX358425
2452,[''],KX358424
2453,[''],KX358423
2454,[''],KX358422
2455,[''],KX358421
2456,[''],KX358420
2457,[''],KX358419
2458,[''],KX358418
2459,[''],KX358417
2460,[''],KX358416
2461,[''],KX358415
2462,[''],KX358414
2463,[''],KX358413
2464,[''],KX358412
2465,[''],KX358411
2466,[''],KX358410
2467,[''],KX358409
2468,[''],KX358408
2469,[''],KX925219
2470,[''],KY057363
2471,['27654297'],KU365372
2472,['27654297'],KU365373
2473,['27347760'],KU295130
2474,['27347760'],KU295129
2475,['27347760'],KU295128
2476,['27347760'],KU295127
2477,['27347760'],KU295126
2478,['27347760'],KU295125
2479,['27347760'],KU295124
2480,['27347760'],KU295123
2481,['27347760'],KU295122
2482,['27347760'],KU295121
2483,['27347760'],KU295120
2484,['27347760'],KU295119
2485,['27347760'],KU295118
2486,['27347760'],KU295117
2487,[''],KX394255
2488,[''],KX394254
2489,[''],KX394253
2490,[''],KX394252
2491,[''],KX394251
2492,['27555980'],KU940226
2493,['27555980'],KU940225
2494,['27654297'],KX772764
2495,['27654297'],KX772763
2496,['27654297'],KX772762
2497,['27654297'],KX772761
2498,['27654297'],KX772760
2499,['27654297'],KX713902
2500,[''],KX585210
2501,[''],KX585209
2502,[''],KX585208
2503,[''],KX585207
2504,[''],KX585206
2505,[''],KX585205
2506,['27524929'],LC147064
2507,['27524929'],LC147063
2508,['27524929'],LC147062
2509,[''],KX496989
2510,[''],KT308163
2511,[''],KT308162
2512,[''],KT308161
2513,[''],KT308160
2514,[''],KT308159
2515,[''],KX037026
2516,[''],KX037025
2517,[''],KX037024
2518,[''],KX037023
2519,['27430542'],KU518343
2520,['27430542'],KU518342
2521,['27430542'],KU518341
2522,['27430542'],KU518340
2523,['27430542'],KU518339
2524,['27430542'],KU518338
2525,['27430542'],KU518337
2526,['27430542'],KU518336
2527,['27430542'],KU518335
2528,['27430542'],KU518334
2529,['27430542'],KU518333
2530,['27430542'],KU518332
2531,['27430542'],KU518331
2532,['27430542'],KU518330
2533,[''],FJ432665
2534,[''],FJ225403
2535,[''],EU862807
2536,['19624923'],EU727163
2537,['19624923'],EU727162
2538,['19624923'],EU727161
2539,['19624923'],EU727160
2540,['19624923'],EU727159
2541,['17176585'],DQ462750
2542,['17176585'],DQ462749
2543,['17176585'],DQ462748
2544,['17176585'],DQ462747
2545,['17176585'],DQ462746
2546,['17176562'],DQ451151
2547,['17176562'],DQ451150
2548,['17176562'],DQ451149
2549,[''],DQ309336
2550,"['15332277', '15664052']",AY549584
2551,['15332277'],AY549583
2552,"['15332277', '15664052']",AY549582
2553,['15332277'],AY549581
2554,"['15332277', '15664052']",AY549580
2555,['15332277'],AY549579
2556,['15332277'],AY549578
2557,['15332277'],AY549577
2558,['15332277'],AY549576
2559,['15332277'],AY549575
2560,[''],JN578248
2561,[''],JN578247
2562,[''],JN578246
2563,[''],JN578245
2564,[''],JN578244
2565,[''],JN578243
2566,[''],JN578242
2567,[''],JN578241
2568,[''],JN578240
2569,[''],JN578257
2570,[''],JN578256
2571,[''],JN578255
2572,[''],JN578254
2573,[''],JN578253
2574,[''],JN578252
2575,[''],JN578251
2576,[''],JN578250
2577,[''],JN578249
2578,[''],HQ702750
2579,[''],JN048826
2580,[''],JN048825
2581,[''],JN048824
2582,[''],JN048823
2583,[''],JN048822
2584,[''],JN048821
2585,[''],JN048820
2586,[''],JN048819
2587,[''],JN048818
2588,[''],JN048817
2589,[''],JN048816
2590,[''],JN048815
2591,[''],JN048814
2592,[''],JN048813
2593,[''],JN048812
2594,[''],JN048811
2595,[''],JN048810
2596,[''],JN048809
2597,[''],JN048808
2598,[''],JN048807
2599,[''],JN048806
2600,[''],JN048805
2601,[''],JN048804
2602,[''],JN048803
2603,[''],JF297648
2604,[''],HQ848081
2605,[''],HQ848080
2606,[''],HQ529779
2607,[''],HQ529777
2608,[''],HQ542229
2609,[''],GU562830
2610,[''],GU562829
2611,[''],GU562828
2612,[''],GU562827
2613,[''],GU562826
2614,[''],HQ149019
2615,[''],HQ149018
2616,[''],HQ149017
2617,[''],HQ149016
2618,[''],HQ149015
2619,[''],HQ149014
2620,[''],HQ149013
2621,[''],HQ149012
2622,[''],HQ149011
2623,[''],HQ149010
2624,[''],HQ149009
2625,[''],HQ149008
2626,[''],HQ149007
2627,[''],HQ149006
2628,[''],HQ149005
2629,[''],HQ149004
2630,[''],HQ149003
2631,[''],HQ149002
2632,[''],HQ149001
2633,[''],HQ149000
2634,[''],HQ148999
2635,[''],HQ148998
2636,[''],HQ148997
2637,[''],HQ148996
2638,[''],HQ148995
2639,[''],HQ148994
2640,[''],HQ148993
2641,[''],HQ148992
2642,[''],HQ148991
2643,[''],HQ148990
2644,[''],HQ148989
2645,[''],HQ148988
2646,[''],HQ148987
2647,[''],HQ148986
2648,[''],HQ148985
2649,[''],HQ148984
2650,[''],HQ148983
2651,[''],HQ148982
2652,[''],HQ148981
2653,[''],HQ148980
2654,[''],HQ148979
2655,[''],HQ148978
2656,[''],HQ148977
2657,[''],HQ148976
2658,[''],HQ148975
2659,[''],HQ148974
2660,[''],HQ148973
2661,[''],HQ148972
2662,[''],HQ148971
2663,[''],GU434112
2664,[''],GU434111
2665,[''],GU434110
2666,[''],GU434109
2667,[''],GU434108
2668,[''],GU434107
2669,[''],GU434106
2670,[''],GU434105
2671,[''],GU434104
2672,[''],GU434103
2673,[''],GU434102
2674,[''],GU434101
2675,[''],HQ650103
2676,[''],HQ650102
2677,[''],HQ650101
2678,[''],HQ650100
2679,[''],HQ650099
2680,[''],HQ650098
2681,[''],HQ650097
2682,[''],HQ650096
2683,[''],HQ650095
2684,[''],HQ650094
2685,[''],HQ650093
2686,[''],HQ650092
2687,[''],HQ225616
2688,[''],HQ225615
2689,[''],HQ225613
2690,[''],HQ225612
2691,[''],HQ225611
2692,[''],HQ225610
2693,[''],HQ380259
2694,[''],HQ380258
2695,[''],HQ380257
2696,[''],HQ380256
2697,[''],HQ380255
2698,[''],HQ380254
2699,[''],HQ380253
2700,[''],HQ380252
2701,[''],HQ380251
2702,[''],HQ380250
2703,[''],HQ380249
2704,[''],HQ380248
2705,[''],HQ380247
2706,[''],HQ380246
2707,['19857273'],GQ996379
2708,['19857273'],GQ996378
2709,['19857273'],GQ996377
2710,['19857273'],GQ996376
2711,['19857273'],GQ996375
2712,['19857273'],GQ996374
2713,['19857273'],GQ996373
2714,['19857273'],GQ996372
2715,['19857273'],GQ996371
2716,['19857273'],GQ996370
2717,[''],HM236480
2718,[''],HM236479
2719,[''],HM236478
2720,[''],HM236477
2721,[''],HM236476
2722,[''],HM236475
2723,[''],HM236474
2724,[''],HM236473
2725,[''],HM236472
2726,[''],HM236471
2727,[''],HM236470
2728,[''],HM236469
2729,[''],HM236468
2730,[''],HM236467
2731,[''],HM236466
2732,[''],HM236465
2733,[''],HM236464
2734,[''],HM236463
2735,[''],HM236462
2736,[''],HM236461
2737,[''],HM236460
2738,[''],HM236459
2739,[''],HM236458
2740,['20207882'],GQ387368
2741,['20207882'],GQ387367
2742,['20207882'],GQ387366
2743,['20207882'],GQ387365
2744,['20962735'],FJ998173
2745,[''],GU969242
2746,[''],EF538887
2747,[''],EF538885
2748,['14524480'],AY253743
2749,['14524480'],AY253742
2750,['14524480'],AY253741
2751,['14524480'],AY253740
2752,['14524480'],AY253739
2753,['14524480'],AY253738
2754,['14524480'],AY253737
2755,['14524480'],AY253736
2756,['14524480'],AY253735
2757,['14524480'],AY253734
2758,['14524480'],AY253733
2759,['14524480'],AY253732
2760,['14524480'],AY253731
2761,['14524480'],AY253730
2762,['14524480'],AY253729
2763,"['19751586', '19955565']",FJ445511
2764,"['19751586', '19955565']",FJ445510
2765,"['19751586', '19955565']",FJ445502
2766,"['19751586', '19955565']",FJ445484
2767,"['19751586', '19955565']",FJ445463
2768,"['19751586', '19955565']",FJ445445
2769,"['19751586', '19955565']",FJ445443
2770,"['19751586', '19955565']",FJ445433
2771,"['19751586', '19955565']",FJ445432
2772,"['19751586', '19955565']",FJ445431
2773,"['19751586', '19955565']",FJ445430
2774,"['19751586', '19955565']",FJ445428
2775,"['19751586', '19955565']",FJ445427
2776,"['19751586', '19955565']",FJ445426
2777,['19955565'],FJ513679
2778,['19955565'],FJ513675
2779,['19955565'],FJ513673
2780,['19955565'],FJ513657
2781,['19955565'],FJ513654
2782,['19955565'],FJ513645
2783,['19955565'],FJ513637
2784,['19955565'],FJ513635
2785,['19955565'],FJ513632
2786,['19955565'],FJ513629
2787,['19955565'],FJ513628
2788,[''],GQ889489
2789,[''],GQ889488
2790,[''],GQ889487
2791,[''],GQ889486
2792,['19955565'],FJ513678
2793,['19955565'],FJ513677
2794,['19955565'],FJ513676
2795,['19955565'],FJ513674
2796,['19955565'],FJ513672
2797,['19955565'],FJ513671
2798,['19955565'],FJ513670
2799,['19955565'],FJ513669
2800,['19955565'],FJ513668
2801,['19955565'],FJ513667
2802,['19955565'],FJ513666
2803,['19955565'],FJ513665
2804,['19955565'],FJ513664
2805,['19955565'],FJ513663
2806,['19955565'],FJ513662
2807,['19955565'],FJ513661
2808,['19955565'],FJ513660
2809,['19955565'],FJ513659
2810,['19955565'],FJ513658
2811,['19955565'],FJ513656
2812,['19955565'],FJ513655
2813,['19955565'],FJ513653
2814,['19955565'],FJ513652
2815,['19955565'],FJ513651
2816,['19955565'],FJ513650
2817,['19955565'],FJ513649
2818,['19955565'],FJ513648
2819,['19955565'],FJ513647
2820,['19955565'],FJ513646
2821,['19955565'],FJ513644
2822,['19955565'],FJ513643
2823,['19955565'],FJ513642
2824,['19955565'],FJ513641
2825,['19955565'],FJ513640
2826,['19955565'],FJ513639
2827,['19955565'],FJ513638
2828,['19955565'],FJ513636
2829,['19955565'],FJ513634
2830,['19955565'],FJ513633
2831,['19955565'],FJ513631
2832,['19955565'],FJ513630
2833,[''],GQ229489
2834,[''],GQ229488
2835,[''],GQ229487
2836,[''],GQ229486
2837,"['19751586', '19955565']",FJ445509
2838,"['19751586', '19955565']",FJ445508
2839,"['19751586', '19955565']",FJ445507
2840,"['19751586', '19955565']",FJ445506
2841,"['19751586', '19955565']",FJ445505
2842,"['19751586', '19955565']",FJ445504
2843,"['19751586', '19955565']",FJ445503
2844,"['19751586', '19955565']",FJ445501
2845,"['19751586', '19955565']",FJ445500
2846,"['19751586', '19955565']",FJ445499
2847,"['19751586', '19955565']",FJ445498
2848,"['19751586', '19955565']",FJ445497
2849,"['19751586', '19955565']",FJ445496
2850,"['19751586', '19955565']",FJ445495
2851,"['19751586', '19955565']",FJ445494
2852,"['19751586', '19955565']",FJ445493
2853,"['19751586', '19955565']",FJ445492
2854,"['19751586', '19955565']",FJ445491
2855,"['19751586', '19955565']",FJ445490
2856,"['19751586', '19955565']",FJ445489
2857,"['19751586', '19955565']",FJ445488
2858,"['19751586', '19955565']",FJ445487
2859,"['19751586', '19955565']",FJ445486
2860,"['19751586', '19955565']",FJ445485
2861,"['19751586', '19955565']",FJ445483
2862,"['19751586', '19955565']",FJ445482
2863,"['19751586', '19955565']",FJ445481
2864,"['19751586', '19955565']",FJ445480
2865,"['19751586', '19955565']",FJ445479
2866,"['19751586', '19955565']",FJ445478
2867,"['19751586', '19955565']",FJ445477
2868,"['19751586', '19955565']",FJ445476
2869,"['19751586', '19955565']",FJ445475
2870,"['19751586', '19955565']",FJ445474
2871,"['19751586', '19955565']",FJ445473
2872,"['19751586', '19955565']",FJ445472
2873,"['19751586', '19955565']",FJ445471
2874,"['19751586', '19955565']",FJ445470
2875,"['19751586', '19955565']",FJ445469
2876,"['19751586', '19955565']",FJ445468
2877,"['19751586', '19955565']",FJ445467
2878,"['19751586', '19955565']",FJ445466
2879,"['19751586', '19955565']",FJ445465
2880,"['19751586', '19955565']",FJ445464
2881,"['19751586', '19955565']",FJ445462
2882,"['19751586', '19955565']",FJ445461
2883,"['19751586', '19955565']",FJ445460
2884,"['19751586', '19955565']",FJ445459
2885,"['19751586', '19955565']",FJ445458
2886,"['19751586', '19955565']",FJ445457
2887,"['19751586', '19955565']",FJ445456
2888,"['19751586', '19955565']",FJ445455
2889,"['19751586', '19955565']",FJ445454
2890,"['19751586', '19955565']",FJ445453
2891,"['19751586', '19955565']",FJ445452
2892,"['19751586', '19955565']",FJ445451
2893,"['19751586', '19955565']",FJ445450
2894,"['19751586', '19955565']",FJ445449
2895,"['19751586', '19955565']",FJ445448
2896,"['19751586', '19955565']",FJ445447
2897,"['19751586', '19955565']",FJ445446
2898,"['19751586', '19955565']",FJ445444
2899,"['19751586', '19955565']",FJ445442
2900,"['19751586', '19955565']",FJ445441
2901,"['19751586', '19955565']",FJ445440
2902,"['19751586', '19955565']",FJ445439
2903,"['19751586', '19955565']",FJ445438
2904,"['19751586', '19955565']",FJ445437
2905,"['19751586', '19955565']",FJ445436
2906,"['19751586', '19955565']",FJ445435
2907,"['19751586', '19955565']",FJ445434
2908,"['19751586', '19955565']",FJ445429
2909,"['19751586', '19955565']",FJ445425
2910,"['19751586', '19955565']",FJ445424
2911,[''],GQ119364
2912,[''],GQ119363
2913,[''],GQ119362
2914,[''],EF538886
2915,[''],EF494727
2916,[''],EF451573
2917,[''],EF451572
2918,[''],EF451571
2919,[''],FJ705371
2920,[''],FJ705370
2921,[''],FJ705369
2922,['19624923'],EF539265
2923,[''],EF559252
2924,[''],EF501986
2925,[''],EF501985
2926,[''],EF501984
2927,[''],EF187906
2928,[''],EF187905
2929,[''],EF187904
2930,[''],EF187903
2931,[''],EF187902
2932,[''],EF187901
2933,[''],EF187900
2934,[''],EF187899
2935,[''],EF187898
2936,[''],EF187897
2937,[''],EF187896
2938,[''],EF187895
2939,[''],EF187894
2940,[''],EF187893
2941,[''],EF187892
2942,[''],EF187891
2943,[''],EF187890
2944,[''],EF187889
2945,[''],EF187886
2946,['17627877'],EF533650
2947,[''],AF394213
2948,[''],AF394212
2949,[''],AF394211
2950,[''],AF394210
2951,['17553261'],EF451149
2952,['17553261'],EF451148
2953,['17553261'],EF451147
2954,['17553261'],EF451146
2955,['17553261'],EF451145
2956,['17553261'],EF451144
2957,['17553261'],EF451143
2958,['17553261'],EF451142
2959,[''],EF219371
2960,['17553262'],EF051584
2961,['17627877'],EF193859
2962,['17627877'],EF193858
2963,['17627877'],EF193857
2964,['17627877'],EF193856
2965,['17627877'],EF193855
2966,['17627877'],EF193854
2967,['17627877'],EF193853
2968,[''],EF141195
2969,[''],EF141194
2970,[''],EF141193
2971,[''],EF141192
2972,[''],EF141191
2973,[''],EF141190
2974,[''],EF077611
2975,[''],EF077617
2976,[''],EF077616
2977,[''],EF077615
2978,[''],EF077614
2979,[''],EF077613
2980,[''],EF077610
2981,[''],EF077609
2982,[''],DQ909008
2983,['18219080'],DQ888620
2984,['17552118'],DQ678928
2985,[''],KX228391
2986,['27251040'],KU365292
2987,['27251040'],KU365291
2988,['27251040'],KU365290
2989,['27251040'],KU365289
2990,['27251040'],KU365288
2991,['27251040'],KU365287
2992,['27251040'],KU365286
2993,['27251040'],KU365285
2994,['27251040'],KU365284
2995,['27251040'],KU365283
2996,['27251040'],KU365282
2997,['27120007'],KU355835
2998,['27120007'],KU355834
2999,['27120007'],KU355833
3000,['27120007'],KU355832
3001,['25601996'],KX255063
3002,['25601996'],KX255062
3003,['25601996'],KX255061
3004,[''],KC488650
3005,[''],KU216365
3006,[''],KU216364
3007,[''],KU216363
3008,[''],KU216362
3009,[''],KU216361
3010,[''],KU216360
3011,[''],KX168429
3012,['27088593'],LC064744
3013,['27088593'],LC064743
3014,['27088593'],LC064742
3015,['27088593'],LC064741
3016,['27088593'],LC064740
3017,['27088593'],LC064739
3018,['27088593'],LC064738
3019,['27088593'],LC064737
3020,['27088593'],LC064736
3021,['27088593'],LC064735
3022,['27088593'],LC064734
3023,['27088593'],LC064733
3024,['27088593'],LC064732
3025,['27088593'],LC064731
3026,['27088593'],LC064730
3027,['27088593'],LC064729
3028,['27088593'],LC064728
3029,['27088593'],LC064727
3030,['27088593'],LC064726
3031,['27088593'],LC064725
3032,['27088593'],LC064724
3033,['27088593'],LC064723
3034,['27088593'],LC064722
3035,['27088593'],LC064721
3036,['27088593'],LC064720
3037,['27088593'],LC064719
3038,['27088593'],LC064718
3039,['27088593'],LC064717
3040,['27088593'],LC064716
3041,['27088593'],LC064715
3042,['27088593'],LC064714
3043,['26643533'],KT192740
3044,['26643533'],KT192739
3045,['26643533'],KT192738
3046,['26643533'],KT192737
3047,['26643533'],KT192736
3048,['26643533'],KT192735
3049,['26643533'],KT192734
3050,['26643533'],KT192733
3051,['26643533'],KT192732
3052,['26643533'],KT192731
3053,['26643533'],KT192730
3054,['26643533'],KT192729
3055,['26643533'],KT192728
3056,['26643533'],KT192727
3057,['26643533'],KT192726
3058,['26643533'],KT192725
3059,['26643533'],KT192724
3060,['26643533'],KT192723
3061,['26643533'],KT192722
3062,['26643533'],KT192721
3063,['26643533'],KT192720
3064,['26643533'],KT192719
3065,['26643533'],KT192718
3066,['26643533'],KT192717
3067,['26643533'],KT192716
3068,['26643533'],KT192715
3069,['26643533'],KT192714
3070,['26643533'],KT192713
3071,['26643533'],KT192712
3072,['26643533'],KT192711
3073,['26643533'],KT192710
3074,['26643533'],KT192709
3075,['26643533'],KT192708
3076,['26643533'],KT192707
3077,['26488312'],KT247385
3078,['26488312'],KT247384
3079,['26488312'],KT247383
3080,['26488312'],KT247382
3081,['26488312'],KT247381
3082,['26488312'],KT247380
3083,['26488312'],KT247379
3084,['26488312'],KT247378
3085,['26751121'],KP252142
3086,['26751121'],KP252141
3087,[''],KM014696
3088,[''],KM014695
3089,[''],KM014694
3090,[''],KM014693
3091,[''],KM014692
3092,[''],FR687348
3093,[''],FR687347
3094,[''],FR687346
3095,[''],FR687345
3096,[''],FR687344
3097,[''],FR687343
3098,[''],FR687342
3099,[''],FR687341
3100,[''],FR687340
3101,"['25346397', '26228695']",KF305705
3102,"['25346397', '26228695']",KF305704
3103,"['25346397', '26228695']",KF305703
3104,"['25346397', '26228695']",KF305702
3105,"['25346397', '26228695']",KF305701
3106,"['25346397', '26228695']",KF305700
3107,"['25346397', '26228695']",KF305699
3108,"['25346397', '26228695']",KF305698
3109,"['25346397', '26228695']",KF305697
3110,"['25346397', '26228695']",KF305696
3111,"['25346397', '26228695']",KF305695
3112,"['25346397', '26228695']",KF305694
3113,"['25346397', '26228695']",KF305693
3114,"['25346397', '26228695']",KF305692
3115,"['25346397', '26228695']",KF305691
3116,"['25346397', '26228695']",KF305690
3117,"['25346397', '26228695']",KF305689
3118,"['25346397', '26228695']",KF305688
3119,"['25346397', '26228695']",KF305687
3120,"['25346397', '26228695']",KF305686
3121,['26807575'],LN898112
3122,['26807575'],LN898111
3123,['26807575'],LN898110
3124,['26807575'],LN898109
3125,['26807575'],LN898108
3126,['26807575'],LN898107
3127,['26807575'],LN898106
3128,['26807575'],LN898105
3129,['26807575'],LN898104
3130,['26807575'],LN898103
3131,['26807575'],LN898102
3132,['26807575'],LN898101
3133,['26807575'],LN898100
3134,['26807575'],LN898099
3135,['26807575'],LN898098
3136,['26807575'],LN898097
3137,['26807575'],LN898096
3138,['26807575'],LN898095
3139,['26807575'],LN898094
3140,['26807575'],LN898093
3141,[''],KP702205
3142,[''],KP702204
3143,[''],KR559495
3144,[''],KR559494
3145,[''],KR559485
3146,[''],KR559483
3147,[''],KR559482
3148,[''],KR559480
3149,[''],KR559474
3150,[''],KR559470
3151,['26715303'],KJ508821
3152,['26715303'],KJ508820
3153,['26715303'],KJ508819
3154,['26675454'],HM160530
3155,[''],KT211051
3156,[''],KT211050
3157,[''],KT211049
3158,[''],KT211048
3159,[''],KT211047
3160,[''],KT211046
3161,[''],KT211045
3162,[''],KT211044
3163,[''],KT211043
3164,[''],KT211042
3165,[''],KT211041
3166,[''],KT211040
3167,[''],KT211039
3168,[''],KT211038
3169,[''],KT211037
3170,[''],KT211036
3171,[''],KT211035
3172,[''],KT211034
3173,[''],KT211033
3174,[''],KT211032
3175,[''],KT211031
3176,[''],KT211030
3177,[''],KT211029
3178,[''],KT211028
3179,[''],KT211027
3180,[''],KT211026
3181,[''],KT211025
3182,[''],KT211024
3183,[''],KT211023
3184,['26488312'],KT327167
3185,['26488312'],KT327166
3186,['26488312'],KT327165
3187,['26488312'],KT327163
3188,['26488312'],KT327164
3189,['26347221'],KP702297
3190,['26611825'],KT336799
3191,['26611825'],KT336798
3192,['26611825'],KT336797
3193,['26611825'],KT336796
3194,['26611825'],KT336795
3195,['26611825'],KT336794
3196,['26611825'],KT336793
3197,['26611825'],KT336792
3198,['26611825'],KT336791
3199,['26611825'],KT336790
3200,['26611825'],KT336789
3201,['26611825'],KT336788
3202,['26611825'],KT336787
3203,['26611825'],KT336786
3204,['26611825'],KT336785
3205,['26611825'],KT336784
3206,['26611825'],KT336783
3207,['26611825'],KT336782
3208,['26611825'],KT336781
3209,['26611825'],KT336780
3210,['26611825'],KT336779
3211,['26611825'],KT336778
3212,['26611825'],KT336777
3213,['19861623'],AB455494
3214,['19861623'],AB455493
3215,['26580074'],KR046234
3216,['26580074'],KR046233
3217,['26580074'],KR046232
3218,['26580074'],KR046231
3219,['26580074'],KR046230
3220,['26580074'],KR046229
3221,['26580074'],KR046228
3222,['26580074'],KR046227
3223,['26247719'],KP009589
3224,['26247719'],KP239987
3225,['26247719'],KP239985
3226,['26247719'],KP239984
3227,['26247719'],KP239983
3228,['26247719'],KP239982
3229,['26247719'],KP239986
3230,['26247719'],KP055786
3231,['26247719'],KP001168
3232,['26247719'],KP001167
3233,['26247719'],KM586248
3234,['26247719'],KM503141
3235,[''],KR559498
3236,[''],KR559497
3237,[''],KR559496
3238,[''],KR559493
3239,[''],KR559492
3240,[''],KR559491
3241,[''],KR559490
3242,[''],KR559489
3243,[''],KR559488
3244,[''],KR559487
3245,[''],KR559486
3246,[''],KR559484
3247,[''],KR559481
3248,[''],KR559479
3249,[''],KR559478
3250,[''],KR559477
3251,[''],KR559476
3252,[''],KR559475
3253,[''],KR559473
3254,[''],KR559472
3255,[''],KR559471
3256,[''],KR260263
3257,[''],KR233481
3258,[''],KR233480
3259,[''],KR259354
3260,[''],KR349972
3261,['26416113'],KT444689
3262,['26416113'],KT444688
3263,['26416113'],KT444687
3264,['26416113'],KT444686
3265,['26416113'],KT444685
3266,[''],KR045309
3267,[''],KR045308
3268,['25474568'],KT449801
3269,[''],KP795109
3270,[''],KP795108
3271,[''],KP795107
3272,['26196378'],KR264951
3273,['26196378'],KR264950
3274,['26196378'],KR264949
3275,[''],KR818093
3276,[''],KR818092
3277,[''],KR818091
3278,[''],KP843112
3279,[''],KP843111
3280,[''],KP843110
3281,['26184944'],KC614648
3282,['25911440'],KF925315
3283,['25911440'],KF925314
3284,['25911440'],KF925313
3285,['25911440'],KF925312
3286,['25911440'],KF925311
3287,['25911440'],KF925310
3288,['25911440'],KF925309
3289,['25911440'],KF925308
3290,['25911440'],KF925307
3291,['25911440'],KF925306
3292,['25911440'],KF925305
3293,['25911440'],KF925304
3294,['25911440'],KF925303
3295,['25911440'],KF925302
3296,['25911440'],KF925301
3297,['25911440'],KF925300
3298,['25911440'],KF925299
3299,['25911440'],KF925298
3300,['25911440'],KF925297
3301,['25911440'],KF925296
3302,['25911440'],KF925295
3303,['25911440'],KF925294
3304,['25911440'],KF925293
3305,['25911440'],KF925292
3306,['25911440'],KF925291
3307,['25911440'],KF925290
3308,['25911440'],KF925289
3309,['25911440'],KF925288
3310,['25911440'],KF925287
3311,['25911440'],KF925286
3312,['25953170'],KP851710
3313,['25953170'],KP851709
3314,['25976325'],KP164572
3315,['25976325'],KP164571
3316,['25976325'],KP164570
3317,['25976325'],KP164569
3318,['25976325'],KP164568
3319,['25976325'],KP164567
3320,[''],KP324924
3321,[''],KP324923
3322,[''],KP324922
3323,['25814598'],KM673291
3324,[''],KP343866
3325,[''],KP343865
3326,['25113745'],AB857841
3327,['25113745'],AB857840
3328,['25113745'],AB857839
3329,['25113745'],AB857838
3330,['25113745'],AB857837
3331,['25113745'],AB857836
3332,['25113745'],AB857835
3333,['25113745'],AB857834
3334,['25113745'],AB857833
3335,['25113745'],AB857832
3336,['25113745'],AB857831
3337,['25113745'],AB857830
3338,['25113745'],AB857829
3339,['25113745'],AB857828
3340,['25113745'],AB857827
3341,['25113745'],AB857826
3342,['25113745'],AB857825
3343,['25113745'],AB857824
3344,['25113745'],AB857823
3345,['25113745'],AB857822
3346,['25113745'],AB857821
3347,['25113745'],AB857820
3348,['25113745'],AB857819
3349,['25113745'],AB857818
3350,['25113745'],AB857817
3351,['25113745'],AB857816
3352,['25113745'],AB857815
3353,['25113745'],AB857814
3354,['25113745'],AB857813
3355,['25113745'],AB857812
3356,['25113745'],AB857811
3357,['25113745'],AB857810
3358,['25113745'],AB857809
3359,['25113745'],AB857808
3360,['25113745'],AB857807
3361,['25113745'],AB857806
3362,['25113745'],AB857805
3363,['25113745'],AB857804
3364,['25113745'],AB857803
3365,['25113745'],AB857802
3366,['25113745'],AB857801
3367,['25113745'],AB857800
3368,['25113745'],AB857799
3369,['25113745'],AB857798
3370,['25113745'],AB857797
3371,['25113745'],AB857796
3372,['25113745'],AB857795
3373,['25113745'],AB857794
3374,['25113745'],AB857793
3375,['25113745'],AB857792
3376,['25113745'],AB857791
3377,['25113745'],AB857790
3378,['25113745'],AB857789
3379,['25113745'],AB857788
3380,['25113745'],AB857787
3381,['25113745'],AB857786
3382,['25113745'],AB857785
3383,['25113745'],AB857784
3384,['25113745'],AB857783
3385,['25113745'],AB857782
3386,['25113745'],AB857781
3387,['25113745'],AB857780
3388,['25113745'],AB857779
3389,['25113745'],AB857778
3390,['25113745'],AB857777
3391,['25113745'],AB857776
3392,['25113745'],AB857775
3393,['25113745'],AB857774
3394,['25113745'],AB857773
3395,['25113745'],AB857772
3396,['25113745'],AB857771
3397,['25113745'],AB857770
3398,['25113745'],AB857769
3399,['25113745'],AB857768
3400,['25113745'],AB857767
3401,['25113745'],AB857766
3402,['25113745'],AB857765
3403,['25113745'],AB857764
3404,['25113745'],AB857763
3405,['25113745'],AB857762
3406,['25113745'],AB857761
3407,['25113745'],AB857760
3408,['25113745'],AB857759
3409,['25113745'],AB857758
3410,['25113745'],AB857757
3411,['25113745'],AB857756
3412,['25113745'],AB857755
3413,['25113745'],AB857754
3414,['25113745'],AB857753
