,Locus,Pubmed_number
223,AY618980,15476884
224,AY618981,15476884
225,AY618982,15476884
226,AY618983,15476884
227,AY618984,15476884
228,AY618985,15476884
229,AY618986,15476884
230,AY618987,15476884
231,AY618988,15476884
232,AY618989,15476884
233,AY618990,15476884
234,AY618991,15476884
235,AY618992,15476884
236,AY618993,15476884
237,AY648301,11716091
237,AY648301,15642976
238,AY656167,15642976
239,AY656168,15642976
262,AY842309,15941596
263,AY842310,15941596
264,AY842311,15941596
265,AY842312,15941596
266,AY858049,18243816
267,AY858050,18243816
268,AY934757,16282468
275,DQ341210,16824937
276,DQ341211,16824937
277,DQ341212,16824937
278,DQ341213,16824937
279,DQ341214,16824937
280,DQ341215,16824937
281,DQ341216,16824937
282,DQ341217,16824937
283,DQ341218,16824937
284,DQ341219,16824937
285,DQ390319,17283628
286,DQ390320,17283628
287,DQ390321,17283628
288,DQ390322,17283628
289,DQ390323,17283628
290,DQ390324,17283628
291,DQ390325,17283628
292,DQ390326,17283628
293,DQ390327,17283628
294,DQ390328,17283628
295,DQ390329,17283628
301,EF456756,17328799
302,EF456757,17328799
303,EF456758,17328799
304,EF456759,17328799
305,EF457906,17553878
308,EU127898,18394292
309,EU127899,18394292
310,EU127900,18394292
311,EU303192,18218114
312,EU448448,19478273
313,EU448449,19478273
314,EU448450,19478273
315,EU448451,19478273
316,EU448452,19478273
317,EU448453,19478273
318,EU448454,19478273
319,EU448455,19478273
320,EU448456,19478273
321,EU448457,19478273
322,EU448458,19478273
323,EU448459,19478273
324,EU448460,19478273
325,EU448461,19478273
326,EU448462,19478273
327,EU448463,19478273
328,EU448464,19478273
331,EU518595,18945183
332,EU518596,18945183
333,EU522110,18945183
347,FJ196849,21703015
348,FJ196850,21703015
349,FJ225466,19193262
350,FJ225467,19193262
351,FJ225468,19193262
352,FJ225469,19193262
353,FJ225470,19193262
354,FJ225471,19193262
385,FJ828986,1438242
386,FJ828987,1438242
411,FM986664,19463715
412,FM986665,19463715
413,FM986666,19463715
414,FM986667,19463715
415,FM986668,19463715
416,FM986669,19463715
417,FM986670,19463715
418,FM986671,19463715
419,FM986672,19463715
420,FM986673,19463715
421,FM986674,19463715
436,GQ139547,19891873
437,GQ139548,19891873
438,GQ139549,19891873
439,GQ139550,19891873
440,GQ139551,19891873
441,GQ139552,19891873
442,GQ139553,19891873
443,GQ139554,19891873
444,GQ139555,19891873
445,GQ139556,19891873
446,GQ139557,19891873
447,GQ139558,19891873
448,GQ139559,19891873
449,GQ139560,19891873
450,GQ139561,19891873
451,GQ139562,19891873
452,GQ139563,19891873
453,GQ139564,19891873
454,GQ139565,19891873
455,GQ139566,19891873
456,GQ139567,19891873
457,GQ139568,19891873
458,GQ139569,19891873
459,GQ139570,19891873
460,GQ139571,19891873
461,GQ139572,19891873
462,GQ139573,19891873
463,GQ139574,19891873
464,GQ139575,19891873
465,GQ139576,19891873
466,GQ139577,19891873
467,GQ139578,19891873
468,GQ139579,19891873
469,GQ139580,19891873
470,GQ139581,19891873
471,GQ139582,19891873
472,GQ139583,19891873
473,GQ139584,19891873
474,GQ139585,19891873
475,GQ139586,19891873
476,GQ139587,19891873
477,GQ139588,19891873
478,GQ139589,19891873
479,GQ139590,19891873
480,GQ139591,19891873
491,GQ398256,20600330
508,GU289913,19874927
509,GU318306,19965886
510,GU318307,19965886
511,GU318308,19965886
512,GU318309,19965886
513,GU318310,19965886
514,GU318311,19965886
515,GU318312,19965886
516,GU318313,19965886
517,GU318314,19965886
518,GU318315,19965886
519,GU318316,19965886
520,GU318317,19965886
521,GU318318,19965886
526,GU586124,21234665
527,HE994136,23421733
535,HM171571,20549264
536,HM237348,20670467
537,HM237349,20670467
539,HQ332172,22197765
540,HQ332173,22197765
541,HQ332174,22197765
542,HQ332175,22197765
543,HQ332176,22197765
545,HQ822125,22000396
546,HQ822126,22000396
561,JF262779,22178263
562,JF262780,22178263
563,JF262781,22178263
564,JF262782,22178263
565,JF262783,22178263
591,JF937549,21691853
592,JF937550,21691853
593,JF967759,22855770
594,JF967760,22855770
595,JF967761,22855770
596,JF967762,22855770
597,JF967763,22855770
598,JF967764,22855770
599,JF967765,22855770
600,JF967766,22855770
601,JF967767,22855770
602,JF967768,22855770
603,JF967769,22855770
604,JF967770,22855770
605,JF967771,22855770
606,JF967772,22855770
607,JF967773,22855770
608,JF967774,22855770
609,JF967775,22855770
610,JF967776,22855770
611,JF967777,22855770
612,JF967778,22855770
613,JF967779,22855770
614,JF967780,22855770
615,JF967781,22855770
616,JF967782,22855770
617,JF967783,22855770
618,JF967784,22855770
619,JF967785,22855770
620,JF967786,22855770
621,JF967787,22855770
622,JF967788,22855770
623,JF967789,22855770
624,JF967790,22855770
625,JF967791,22855770
626,JF967792,22855770
627,JN009099,22991709
628,JN019816,22036707
629,JN019817,22036707
630,JN019818,22036707
631,JN019819,22036707
632,JN019820,22036707
633,JN019821,22036707
634,JN019822,22036707
635,JN019823,22036707
636,JN019824,22036707
637,JN019825,22036707
638,JN019826,22036707
639,JN019827,22036707
640,JN019828,22036707
641,JN019829,22036707
642,JN019830,22036707
651,JN092553,22216365
675,JN575581,23092682
676,JN575582,23092682
677,JN575583,23092682
678,JN575584,23092682
679,JN575585,23092682
680,JN575586,23092682
681,JN575587,23092682
682,JN575588,23092682
683,JN575589,23092682
684,JN575590,23092682
685,JN575591,23092682
686,JN575592,23092682
687,JN575593,23092682
688,JN575594,23092682
689,JN575595,23092682
690,JN575596,23092682
699,JN832498,22216313
700,JN832499,22216313
701,JN832500,22216313
702,JN832501,22216313
703,JN832502,22216313
704,JN832503,22216313
705,JN832504,22216313
706,JN832505,22216313
707,JN832506,22216313
708,JN832507,22216313
709,JN832508,22216313
710,JN832509,22216313
711,JN832510,22216313
712,JN832511,22216313
713,JN832512,22216313
714,JN832513,22216313
715,JN832514,22216313
716,JN832515,22216313
717,JN832516,22216313
718,JN832517,22216313
719,JN832518,22216313
720,JN832519,22216313
721,JN832520,22216313
722,JN832521,22216313
723,JN832522,22216313
724,JN832523,22216313
725,JN832524,22216313
726,JN832525,22216313
727,JN832526,22216313
728,JN832527,22216313
729,JN832528,22216313
730,JN832529,22216313
731,JN832530,22216313
732,JN832531,22216313
733,JN832532,22216313
734,JN832533,22216313
735,JN832534,22216313
736,JN832535,22216313
737,JN832536,22216313
738,JN832537,22216313
739,JN832538,22216313
740,JN832539,22216313
741,JN832540,22216313
742,JN832541,22216313
743,JN832542,22216313
744,JN832543,22216313
745,JN832544,22216313
746,JN832545,22216313
747,JN832546,22216313
748,JN832547,22216313
749,JN832548,22216313
750,JN832549,22216313
751,JN832550,22216313
752,JN832551,22216313
753,JN832552,22216313
754,JN832553,22216313
755,JN832554,22216313
756,JN832555,22216313
757,JN832556,22216313
758,JN832557,22216313
759,JN832558,22216313
760,JN832559,22216313
761,JN832560,22216313
762,JN832561,22216313
763,JN848496,22216365
764,JN848497,22216365
765,JN848498,22216365
766,JN848499,22216365
767,JN848500,22216365
768,JN983813,22247521
769,JQ045565,22826483
770,JQ045566,22826483
771,JQ247980,23871166
776,JQ403526,22855770
777,JQ513330,23092706
778,JQ513331,23092706
779,JQ513332,23092706
780,JQ513333,23092706
781,JQ513334,23092706
782,JQ513335,23092706
783,JQ513336,23092706
784,JQ513337,23092706
785,JQ513338,23092706
786,JQ513339,23092706
787,JQ513340,23092706
788,JQ513341,23092706
789,JQ513342,23092706
790,JQ513343,23092706
791,JQ513344,23092706
792,JQ513345,23092706
825,JQ686057,22890284
826,JQ686058,22890284
827,JQ686059,22890284
828,JQ686060,22890284
829,JQ686061,22890284
830,JQ686062,22890284
831,JQ686063,22890284
832,JQ686064,22890284
833,JQ686065,22890284
834,JQ686066,22890284
835,JQ686067,22890284
836,JQ736685,23127562
837,JQ736686,23127562
838,JQ740882,22491255
839,JQ740883,22491255
840,JQ822247,22628403
855,JQ993233,23350000
856,JQ993234,23350000
857,JQ993235,23350000
858,JQ993236,23350000
859,JQ993237,23350000
860,JQ993238,23350000
861,JQ993239,23350000
862,JQ993240,23350000
863,JQ993241,23350000
864,JQ993242,23350000
865,JQ993243,23350000
866,JQ993244,23350000
867,JQ993245,23350000
868,JQ993246,23350000
869,JQ993247,23350000
870,JQ993248,23350000
871,JQ993249,23350000
872,JQ993250,23350000
873,JQ993251,23350000
874,JQ993252,23350000
875,JQ993253,23350000
876,JQ993254,23350000
877,JQ993255,23350000
878,JQ993256,23350000
879,JQ993257,23350000
880,JQ993258,23350000
881,JQ993259,23350000
882,JQ993260,23350000
883,JQ993261,23350000
884,JQ993262,23350000
885,JQ993263,23350000
886,JQ993264,23350000
887,JQ993265,23350000
888,JQ993266,23350000
889,JQ993267,23350000
890,JQ993268,23350000
891,JQ993269,23350000
892,JQ993270,23350000
893,JQ993271,23350000
894,JQ993272,23350000
895,JQ993273,23350000
896,JQ993274,23350000
897,JQ993275,23350000
898,JQ993276,23350000
899,JQ993277,23350000
900,JQ993278,23350000
901,JQ993279,23350000
902,JQ993280,23350000
903,JQ993281,23350000
904,JQ993282,23350000
905,JQ993283,23350000
906,JQ993284,23350000
907,JQ993285,23350000
908,JQ993286,23350000
909,JQ993287,23350000
910,JQ993288,23350000
911,JQ993289,23350000
912,JQ993290,23350000
913,JQ993291,23350000
914,JQ993292,23350000
915,JQ993293,23350000
916,JQ993294,23350000
917,JQ993295,23350000
918,JQ993296,23350000
919,JQ993297,23350000
920,JQ993298,23350000
921,JQ993299,23350000
922,JQ993300,23350000
923,JQ993301,23350000
924,JQ993302,23350000
925,JQ993303,23350000
926,JQ993304,23350000
927,JQ993305,23350000
928,JQ993306,23350000
929,JX024757,23415634
930,JX024758,23415634
931,JX026889,23127562
932,JX026890,23127562
933,JX026891,23127562
934,JX026892,23127562
935,JX026893,23127562
936,JX026894,23127562
937,JX026895,23127562
938,JX026896,23127562
984,KC333651,23723400
985,KC762694,25784569
986,KC762695,25784569
987,KC762696,25784569
988,KC762697,25784569
989,KC762698,25784569
990,KC762699,25784569
992,KC963424,23785205
993,KC963425,23785205
994,KF041260,24007412
995,KF052666,24916872
996,KF052667,24916872
997,KF052668,24916872
1008,KF286626,24587454
1009,KF286627,24587454
1010,KF286628,24587454
1011,KF286629,24587454
1012,KF286630,24587454
1013,KF286631,24587454
1014,KF286632,24587454
1015,KF286633,24587454
1016,KF286634,24587454
1017,KF286635,24587454
1018,KF305671,25817238
1019,KF385931,24571329
1020,KF385932,24571329
1021,KF385933,24571329
1022,KF385934,24571329
1023,KF417492,24978469
1024,KF417493,24978469
1025,KF417494,24978469
1026,KF417495,24978469
1027,KF417496,24978469
1068,KJ160504,24385585
1069,KJ188199,25689778
1073,KJ534635,26047200
1102,KJ690587,25242312
1163,KM216739,25635775
1164,KM216740,25635775
1165,KM216741,25635775
1166,KM216742,25635775
1167,KM216743,25635775
1168,KM216744,25635775
1169,KM216745,25635775
1170,KM216746,25635775
1171,KM216747,25635775
1191,KP292911,25866331
1192,KP292912,25866331
1193,KP292913,25866331
1194,KP292914,25866331
1195,KP292915,25866331
1196,KP292916,25866331
1197,KP292917,25866331
1198,KP292918,25866331
1199,KP292919,25866331
1200,KP292920,25866331
1201,KP292921,25866331
1202,KP292922,25866331
1203,KP292923,25866331
1204,KP292924,25866331
1205,KP292925,25866331
1206,KP292926,25866331
1207,KP292927,25866331
1208,KP292928,25866331
1209,KP292929,25866331
1210,KP292930,25866331
1211,KP292931,25866331
1227,KP406806,26607896
1261,KP694222,26517653
1262,KP694223,26517653
1263,KP694224,26517653
1264,KP694225,26517653
1265,KP703864,27069820
1266,KP703865,27069820
1267,KP703866,27069820
1268,KP703867,27069820
1269,KP703868,27069820
1270,KP703869,27069820
1271,KP703870,27069820
1272,KP703871,27069820
1273,KP703872,27069820
1274,KP703873,27069820
1275,KP703874,27069820
1276,KP703875,27069820
1277,KP703876,27069820
1278,KP703877,27069820
1279,KP703878,27069820
1280,KP703879,27069820
1281,KP703880,27069820
1282,KP703881,27069820
1283,KP703882,27069820
1284,KP703883,27069820
1285,KP703884,27069820
1286,KP703885,27069820
1287,KP703886,27069820
1288,KP703887,27069820
1289,KP703888,27069820
1290,KP703889,27069820
1291,KP703890,27069820
1292,KP703891,27069820
1293,KP703892,27069820
1294,KP703893,27069820
1295,KP703894,27069820
1296,KP703895,27069820
1297,KP703896,27069820
1298,KP703897,27069820
1299,KP703898,27069820
1300,KP703899,27069820
1301,KP703900,27069820
1302,KP703901,27069820
1303,KP703902,27069820
1304,KP703903,27069820
1305,KP703904,27069820
1306,KP703905,27069820
1307,KP703906,27069820
1308,KP703907,27069820
1309,KP703908,27069820
1310,KP703909,27069820
1311,KP703910,27069820
1312,KP703911,27069820
1313,KP703912,27069820
1314,KP703913,27069820
1315,KP703914,27069820
1316,KP703915,27069820
1317,KP703916,27069820
1318,KP703917,27069820
1319,KP703918,27069820
1320,KP703919,27069820
1321,KP703920,27069820
1322,KP703921,27069820
1323,KP703922,27069820
1324,KP703923,27069820
1325,KP703924,27069820
1326,KP703925,27069820
1327,KP703926,27069820
1328,KP703927,27069820
1329,KP703928,27069820
1330,KP703929,27069820
1331,KP703930,27069820
1332,KP703931,27069820
1333,KP703932,27069820
1334,KP703933,27069820
1335,KP703934,27069820
1336,KP703935,27069820
1337,KP703936,27069820
1338,KP703937,27069820
1339,KP703938,27069820
1340,KP703939,27069820
1341,KP703940,27069820
1342,KP703941,27069820
1343,KP703942,27069820
1344,KP703943,27069820
1345,KP703944,27069820
1346,KP703945,27069820
1347,KP703946,27069820
1348,KP703947,27069820
1349,KP703948,27069820
1350,KP703949,27069820
1351,KP703950,27069820
1352,KP703951,27069820
1353,KP703952,27069820
1354,KP703953,27069820
1355,KP703954,27069820
1356,KP703955,27069820
1357,KP703956,27069820
1358,KP703957,27069820
1359,KP703958,27069820
1360,KP703959,27069820
1361,KP703960,27069820
1362,KP703961,27069820
1363,KP703962,27069820
1364,KP703963,27069820
1365,KP703964,27069820
1366,KP703965,27069820
1367,KP703966,27069820
1368,KP703967,27069820
1369,KP703968,27069820
1370,KP703969,27069820
1371,KP703970,27069820
1372,KP703971,27069820
1373,KP703972,27069820
1374,KP703973,27069820
1375,KP703974,27069820
1376,KP703975,27069820
1377,KP703976,27069820
1378,KP703977,27069820
1379,KP703978,27069820
1380,KP703979,27069820
1381,KP703980,27069820
1382,KP703981,27069820
1383,KP703982,27069820
1384,KP703983,27069820
1385,KP703984,27069820
1386,KP703985,27069820
1387,KP703986,27069820
1388,KP703987,27069820
1389,KP703988,27069820
1390,KP703989,27069820
1391,KP703990,27069820
1392,KP703991,27069820
1393,KP703992,27069820
1394,KP703993,27069820
1395,KP703994,27069820
1396,KP703995,27069820
1397,KP703996,27069820
1398,KP703997,27069820
1399,KP703998,27069820
1400,KP703999,27069820
1401,KP704000,27069820
1402,KP704001,27069820
1403,KP704002,27069820
1404,KP704003,27069820
1405,KP704004,27069820
1406,KP704005,27069820
1407,KP704006,27069820
1408,KP704007,27069820
1409,KP704008,27069820
1410,KP704009,27069820
1411,KP704010,27069820
1412,KP704011,27069820
1413,KP704012,27069820
1414,KP704013,27069820
1415,KP704014,27069820
1416,KP704015,27069820
1417,KP704016,27069820
1418,KP704017,27069820
1419,KP704018,27069820
1420,KP704019,27069820
1421,KP704020,27069820
1422,KP704021,27069820
1423,KP704022,27069820
1424,KP704023,27069820
1425,KP704024,27069820
1426,KP704025,27069820
1427,KP704026,27069820
1428,KP704027,27069820
1429,KP704028,27069820
1430,KP704029,27069820
1431,KP704030,27069820
1432,KP704031,27069820
1433,KP704032,27069820
1434,KP704033,27069820
1435,KP704034,27069820
1436,KP704035,27069820
1437,KP704036,27069820
1438,KP704037,27069820
1439,KP704038,27069820
1440,KP704039,27069820
1441,KP704040,27069820
1442,KP704041,27069820
1443,KP704042,27069820
1444,KP704043,27069820
1445,KP704044,27069820
1446,KP704045,27069820
1447,KP704046,27069820
1448,KP704047,27069820
1449,KP704048,27069820
1450,KP704049,27069820
1451,KP704050,27069820
1452,KP704051,27069820
1453,KP704052,27069820
1454,KP704053,27069820
1455,KP704054,27069820
1456,KP704055,27069820
1457,KP704056,27069820
1458,KP704057,27069820
1459,KP704058,27069820
1460,KP704059,27069820
1461,KP704060,27069820
1462,KP704061,27069820
1463,KP704062,27069820
1464,KP704063,27069820
1465,KP704064,27069820
1466,KP704065,27069820
1467,KP704066,27069820
1468,KP704067,27069820
1469,KP704068,27069820
1470,KP704069,27069820
1471,KP704070,27069820
1472,KP704071,27069820
1473,KP704072,27069820
1474,KP704073,27069820
1475,KP704074,27069820
1476,KP704075,27069820
1477,KP704076,27069820
1478,KP704077,27069820
1479,KP704078,27069820
1480,KP704079,27069820
1481,KP704080,27069820
1482,KP704081,27069820
1483,KP704082,27069820
1484,KP704083,27069820
1485,KP704084,27069820
1486,KP704085,27069820
1487,KP704086,27069820
1488,KP704087,27069820
1489,KP704088,27069820
1490,KP704089,27069820
1491,KP704090,27069820
1492,KP704091,27069820
1493,KP704092,27069820
1494,KP704093,27069820
1495,KP704094,27069820
1496,KP704095,27069820
1497,KP704096,27069820
1498,KP704097,27069820
1499,KP704098,27069820
1500,KP704099,27069820
1501,KP704100,27069820
1502,KP704101,27069820
1503,KP704102,27069820
1504,KP704103,27069820
1505,KP704104,27069820
1506,KP704105,27069820
1507,KP704106,27069820
1508,KP704107,27069820
1509,KP704108,27069820
1510,KP704109,27069820
1511,KP704110,27069820
1512,KP704111,27069820
1513,KP704112,27069820
1514,KP704113,27069820
1515,KP704114,27069820
1516,KP704115,27069820
1517,KP704116,27069820
1518,KP704117,27069820
1519,KP704118,27069820
1520,KP704119,27069820
1521,KP704120,27069820
1522,KP704121,27069820
1523,KP704122,27069820
1524,KP704123,27069820
1525,KP704124,27069820
1526,KP704125,27069820
1527,KP704126,27069820
1528,KP704127,27069820
1529,KP704128,27069820
1530,KP704129,27069820
1531,KP704130,27069820
1532,KP704131,27069820
1533,KP704132,27069820
1534,KP704133,27069820
1535,KP704134,27069820
1536,KP704135,27069820
1537,KP704136,27069820
1538,KP704137,27069820
1539,KP704138,27069820
1540,KP704139,27069820
1541,KP704140,27069820
1542,KP704141,27069820
1543,KP704142,27069820
1544,KP704143,27069820
1545,KP704144,27069820
1546,KP704145,27069820
1547,KP704146,27069820
1548,KP704147,27069820
1549,KP704148,27069820
1550,KP704149,27069820
1551,KP704150,27069820
1552,KP704151,27069820
1553,KP704152,27069820
1554,KP704153,27069820
1555,KP704154,27069820
1556,KP704155,27069820
1557,KP704156,27069820
1558,KP704157,27069820
1559,KP704158,27069820
1560,KP704159,27069820
1561,KP704160,27069820
1562,KP704161,27069820
1563,KP704162,27069820
1564,KP704163,27069820
1565,KP704164,27069820
1566,KP704165,27069820
1567,KP704166,27069820
1568,KP704167,27069820
1569,KP704168,27069820
1570,KP704169,27069820
1571,KP704170,27069820
1572,KP704171,27069820
1573,KP704172,27069820
1574,KP704173,27069820
1575,KP704174,27069820
1576,KP704175,27069820
1577,KP704176,27069820
1578,KP704177,27069820
1579,KP704178,27069820
1580,KP704179,27069820
1581,KP704180,27069820
1582,KP704181,27069820
1583,KP704182,27069820
1584,KP704183,27069820
1585,KP704184,27069820
1586,KP704185,27069820
1587,KP704186,27069820
1588,KP704187,27069820
1589,KP704188,27069820
1590,KP704189,27069820
1591,KP704190,27069820
1592,KP704191,27069820
1593,KP704192,27069820
1594,KP704193,27069820
1595,KP704194,27069820
1596,KP704195,27069820
1597,KP704196,27069820
1598,KP704197,27069820
1599,KP704198,27069820
1600,KP704199,27069820
1601,KP704200,27069820
1602,KP704201,27069820
1603,KP704202,27069820
1604,KP704203,27069820
1605,KP704204,27069820
1606,KP704205,27069820
1607,KP704206,27069820
1608,KP704207,27069820
1609,KP704208,27069820
1610,KP704209,27069820
1611,KP704210,27069820
1612,KP704211,27069820
1613,KP704212,27069820
1614,KP704213,27069820
1615,KP704214,27069820
1616,KP704215,27069820
1617,KP704216,27069820
1618,KP704217,27069820
1619,KP710879,26784852
1620,KP710880,26784852
1624,KP742343,26784852
1637,KR011349,26868382
1647,KT186264,27172387
1648,KT186265,27172387
1649,KT186266,27172387
1650,KT186267,27172387
1651,KT186268,27172387
1652,KT186269,27172387
1653,KT186270,27172387
1654,KT186271,27172387
1655,KT204459,28575000
1656,KT204464,28575000
1692,KT794007,26841048
1709,KU513441,27267473
1710,KU513442,27267473
1713,KU529755,27215933
1714,KU529756,27215933
1715,KU529757,27215933
1716,KU529758,27215933
1745,KX147336,28098525
1746,KX224297,27316694
1747,KX224298,27316694
1748,KX224299,27316694
1749,KX224300,27316694
1750,KX224301,27316694
1751,KX224302,27316694
1752,KX224303,27316694
1753,KX224304,27316694
1754,KX224305,27316694
1755,KX224306,27316694
1756,KX224307,27316694
1757,KX224308,27316694
1758,KX224309,27316694
1759,KX224310,27316694
1760,KX224311,27316694
1761,KX224312,27316694
1769,KX357895,28414004
1770,KX357896,28414004
1771,KX357897,28414004
1772,KX357898,28414004
1773,KX357899,28414004
1774,KX646389,28600724
1775,KX646390,28600724
1776,KX646391,28600724
1778,KX901657,30157270
1779,KX901658,30157270
1780,KX901659,30157270
1781,KX901660,30157270
1782,KX901661,30157270
1830,KY451945,28767984
1846,KY709195,29056517
1847,KY709196,29056517
1848,KY849762,29377886
1961,KY887632,30157270
1962,KY887633,30157270
1963,KY887634,30157270
1964,KY887635,30157270
1965,KY887636,30157270
1966,KY887637,30157270
2027,DENSTRA,3022479
2027,DENSTRA,3039728
2039,MG053162,29470509
2040,MG053163,29470509
2041,MG053164,29470509
2042,MG053165,29470509
2043,MG053166,29470509
2044,MG053167,29470509
2045,MG053168,29470509
2046,MG053169,29470509
2047,MG053170,29470509
2048,MG053171,29470509
2049,MG053172,29470509
2050,MG053173,29470509
2055,MG272272,29470509
2056,MG272273,29470509
2057,MG272274,29470509
2187,MH010604,30023351
2189,MH173174,30113689
2190,MH173175,30113689
2195,MH178418,30113689
2196,MH178419,30113689
2233,MH594950,30366083
2234,MH594951,30366083
2235,MH594952,30366083
2236,MH594953,30366083
2237,MH594954,30366083
2238,MH594955,30366083
2239,MH594956,30366083
2240,MH594957,30366083
2241,MH594958,30366083
2262,MK034360,30783772
2398,MK780889,31415663
2399,MK780890,31415663
2400,MK780891,31415663
2401,MK780892,31415663
2402,MK780893,31415663
2403,MK780894,31415663
2404,MK780895,31415663
2405,MK780896,31415663
2406,MK780897,31415663
2407,MK780898,31415663
2408,MK780899,31415663
2409,MK780900,31415663
2410,MK780901,31415663
2411,MK780902,31415663
2412,MK780903,31415663
2448,MN083242,32145478
2449,MN083243,32145478
2450,MN083244,32145478
2495,MN527286,32512828
2531,MT122852,32899416
2532,MT122853,32899416
2533,MT122854,32899416
2534,MT122855,32899416
2535,MT122856,32899416
2536,MT122857,32899416
2537,MT122858,32899416
2538,MT122859,32899416
2539,MT122860,32899416
2540,MT122861,32899416
2541,MT122862,32899416
2542,MT122863,32899416
2543,MT122864,32899416
2544,MT122865,32899416
2545,MT122866,32899416
2546,MT122867,32899416
2547,MT122868,32899416
2548,MT122869,32899416
2549,MT122870,32899416
2550,MT122871,32899416
2551,MT122872,32899416
2552,MT122873,32899416
2553,MT122874,32899416
2554,MT122875,32899416
2555,MT122876,32899416
2556,MT122877,32899416
2557,MT122878,32899416
2558,MT122879,32899416
2559,MT122880,32899416
2560,MT122881,32899416
2561,MT122882,32899416
2562,MT122883,32899416
