Locus,Pubmed accession number
LQ729867,[]
LQ729868,[]
LQ729869,[]
LQ729870,[]
LQ729871,[]
LQ729872,[]
LQ729873,[]
LQ729874,[]
LQ729875,[]
LQ729876,[]
LQ729877,[]
LQ729878,[]
LQ729881,[]
LQ868270,[]
LQ868271,[]
LQ868272,[]
LQ868273,[]
LQ868274,[]
LQ868275,[]
LQ868276,[]
LQ868277,[]
LQ868278,[]
LQ868279,[]
LQ868280,[]
LQ868281,[]
LQ868282,[]
LQ868283,[]
LQ868284,[]
LQ868285,[]
LQ868289,[]
LQ868290,[]
LQ868291,[]
LQ868292,[]
LQ868293,[]
LQ868294,[]
LQ868295,[]
LQ868296,[]
LQ868297,[]
LQ868298,[]
LQ868299,[]
LQ868300,[]
LQ868301,[]
LQ868302,[]
LQ868303,[]
LQ868304,[]
LQ880075,[]
LQ880080,[]
LQ880085,[]
LQ880090,[]
LQ880095,[]
LQ880100,[]
LQ880105,[]
LQ880110,[]
LQ880115,[]
LQ880120,[]
LR792671,[]
LY515587,[]
LY566906,[]
LY566907,[]
LY566908,[]
LY566909,[]
LY566910,[]
LY566911,[]
LY589873,[]
LY589874,[]
LY589875,[]
LY589876,[]
LY589877,[]
LY589878,[]
LY589879,[]
LY589880,[]
LY589881,[]
LY589882,[]
LY589883,[]
LY589884,[]
LY589885,[]
LY589886,[]
LY589887,[]
LY589888,[]
LY589889,[]
LY589890,[]
LY589891,[]
LY589892,[]
LY589893,[]
LY589894,[]
LY589895,[]
LY589896,[]
LY589897,[]
LY589898,[]
LY589899,[]
LY589900,[]
LY589901,[]
LY589902,[]
LY589903,[]
LY589904,[]
LY589905,[]
LY589906,[]
LY589907,[]
LY589908,[]
LY589909,[]
LY589910,[]
LY589911,[]
LY589912,[]
LY589913,[]
LY589914,[]
LY589915,[]
LY589916,[]
LY589917,[]
LY589918,[]
LY589919,[]
LY589920,[]
LY589921,[]
LY589922,[]
LY589923,[]
LY589924,[]
LY589925,[]
LY589926,[]
LY589927,[]
LY589928,[]
LY589929,[]
LY589930,[]
LY664593,[]
LY664594,[]
LY664595,[]
LY664596,[]
LY664597,[]
LY664598,[]
LY664599,[]
LY664600,[]
LY664601,[]
LY664602,[]
LY683016,[]
LY683017,[]
LY683018,[]
LY683019,[]
LY683020,[]
LY683021,[]
LY683022,[]
LY683023,[]
LY683024,[]
LY683025,[]
LY683026,[]
LY683027,[]
LY683028,[]
LY683029,[]
LY683030,[]
LY683031,[]
LY683032,[]
LY683033,[]
LY683034,[]
LY683035,[]
LY683036,[]
LY683037,[]
LY683038,[]
LY683039,[]
LY683040,[]
LY683041,[]
LY683042,[]
LY683043,[]
LY683044,[]
LY683045,[]
LY683046,[]
LY683047,[]
LY683048,[]
LY683049,[]
LY683050,[]
LY683051,[]
LY683052,[]
LY683053,[]
LY683054,[]
LY683055,[]
LY683056,[]
LY683057,[]
LY683058,[]
LY683059,[]
LY683060,[]
LY683061,[]
LY683062,[]
LY683063,[]
LY683064,[]
LY683065,[]
LY683066,[]
LY683067,[]
LY683068,[]
LY683069,[]
LY683070,[]
LY683071,[]
LY683072,[]
LY683073,[]
LY683074,[]
LY683075,[]
LY683076,[]
LY683077,[]
LY683078,[]
LY683079,[]
LY683080,[]
LY683081,[]
LY683082,[]
LY683083,[]
LY683084,[]
LY683085,[]
LY683086,[]
LY683087,[]
LY683289,[]
LY683290,[]
LY683291,[]
LY683292,[]
LY683294,[]
LY712918,[]
LY712919,[]
LY712920,[]
LY712921,[]
LY720049,[]
LY720057,[]
LY720058,[]
LY720059,[]
LY720060,[]
LY720061,[]
LY720062,[]
LY720063,[]
LY720064,[]
LY720065,[]
LY720066,[]
LY720067,[]
LY720068,[]
LY720069,[]
LY720070,[]
LY720071,[]
LY720072,[]
LY720073,[]
LY720074,[]
LY720075,[]
LY720076,[]
LY720077,[]
LY720078,[]
LY988381,[]
LY988382,[]
LY988383,[]
LY988384,[]
LY988385,[]
LY988386,[]
LY988387,[]
LY988388,[]
LY988389,[]
LY988390,[]
LY988391,[]
LY988392,[]
LY988393,[]
LY988394,[]
LY988395,[]
LY988396,[]
LY988397,[]
LY988398,[]
LY988399,[]
LY988400,[]
LY988401,[]
LY988402,[]
LY988403,[]
LY988404,[]
LY988405,[]
LY988406,[]
LY988407,[]
LY988408,[]
LY988409,[]
LY988410,[]
LY988411,[]
LY988412,[]
LY988413,[]
LY988414,[]
LY988415,[]
LY988416,[]
LY988417,[]
LY988418,[]
LY988419,[]
LY988420,[]
LY988421,[]
LY988422,[]
LY988423,[]
LY988424,[]
LY988425,[]
LY988426,[]
LY988427,[]
LY988428,[]
LY988429,[]
LY988430,[]
LY988431,[]
LY988432,[]
LZ221254,[]
LZ221255,[]
LZ221256,[]
LZ221257,[]
LZ221258,[]
LZ221259,[]
MA141983,[]
MA141984,[]
MA141985,[]
MA141986,[]
MA141987,[]
MA141988,[]
MA141989,[]
MA141990,[]
MA141991,[]
MA141992,[]
MA141993,[]
MA141994,[]
MA141995,[]
MA141996,[]
MA141997,[]
MA141998,[]
MA141999,[]
MA142000,[]
MA142001,[]
MA142002,[]
MA142003,[]
MA142004,[]
MA142005,[]
MA142006,[]
MA402412,[]
MA402413,[]
MA402414,[]
MA402415,[]
MA402416,[]
MA402417,[]
MA402418,[]
MA402419,[]
MA402420,[]
MA402421,[]
MA402422,[]
MA402423,[]
MA402424,[]
MA402425,[]
MA402426,[]
MA402427,[]
MA402428,[]
MA402429,[]
MA402430,[]
MA402431,[]
MA402432,[]
MA402433,[]
MA402434,[]
MA402435,[]
MA402436,[]
MA402437,[]
MA402438,[]
MA402439,[]
MA402440,[]
MA402441,[]
MA402442,[]
MA402443,[]
MA402444,[]
MA402445,[]
MA402446,[]
MA402447,[]
MA402448,[]
MA402449,[]
MA402450,[]
MA402451,[]
MA402452,[]
MA402453,[]
MA402454,[]
MA402455,[]
MA402456,[]
MA402457,[]
MA402458,[]
MA402459,[]
MA402460,[]
MA402461,[]
MA402462,[]
MA402463,[]
MA402464,[]
MA402465,[]
MA402466,[]
MA402467,[]
MA402468,[]
MA402469,[]
MA402470,[]
MA402471,[]
MA402472,[]
MA402473,[]
MA402474,[]
MA402475,[]
MA402476,[]
MA402477,[]
MA402478,[]
MA402479,[]
MA402480,[]
MA402481,[]
MA402482,[]
MA402483,[]
MA847343,[]
MA847344,[]
MA887897,[]
MA887898,[]
MA887899,[]
MA887900,[]
MA887901,[]
MA887902,[]
MA887903,[]
MA887904,[]
MA887905,[]
MA887906,[]
MA887907,[]
MA887908,[]
MA887909,[]
MA887910,[]
MA887911,[]
MA887912,[]
MA887913,[]
MA887914,[]
MA887915,[]
MA887916,[]
MA887917,[]
MA887918,[]
MA887919,[]
MA887920,[]
MA887921,[]
MA887922,[]
MA887923,[]
MA887924,[]
MA887925,[]
MA887926,[]
MA887927,[]
MA887928,[]
MA887929,[]
MA887930,[]
MA887931,[]
MA887932,[]
MA887933,[]
MA887934,[]
MA887935,[]
MA887936,[]
MA887937,[]
MA887938,[]
MA887939,[]
MA887940,[]
MA887941,[]
MA887942,[]
MA887943,[]
MA887944,[]
MA887945,[]
MA887946,[]
MA887947,[]
MA887948,[]
MA887949,[]
MA887950,[]
MA887951,[]
MA887952,[]
MA887953,[]
MA887954,[]
MB029367,[]
MB029368,[]
MB029369,[]
MB029370,[]
MB029371,[]
MB029372,[]
MB029373,[]
MB029374,[]
MB029375,[]
MB029376,[]
MB029377,[]
MB029378,[]
MB029379,[]
MB029380,[]
MB029381,[]
MB029382,[]
MB029383,[]
MB029384,[]
MB029385,[]
MB029386,[]
MB029387,[]
MB029388,[]
MB029389,[]
MB029390,[]
MB416441,[]
MB416442,[]
MB416443,[]
MB416444,[]
MB416445,[]
MB416446,[]
MB416447,[]
MB416448,[]
MB416449,[]
MB416450,[]
MB416451,[]
MB416452,[]
MB431386,[]
MB431387,[]
MB431388,[]
MB431389,[]
MB431390,[]
MB431391,[]
MB431392,[]
MB431393,[]
MB431394,[]
MB474535,[]
MB474536,[]
MB474537,[]
MB474538,[]
MB474539,[]
MB474540,[]
MB474541,[]
MB474542,[]
MB474543,[]
MB474544,[]
MB474545,[]
MB474546,[]
MB474547,[]
MB474548,[]
MB474549,[]
MB474550,[]
MB474551,[]
MB474552,[]
MB474553,[]
MB474554,[]
MB474555,[]
MB474556,[]
MB474557,[]
MB474558,[]
MB474559,[]
MB474560,[]
MB474561,[]
MB474562,[]
MB474563,[]
MB474564,[]
MB474565,[]
MB474566,[]
MB474567,[]
MB474568,[]
MB474569,[]
MB474570,[]
MB474571,[]
MB474572,[]
MB474573,[]
MB474574,[]
MB474575,[]
MB474576,[]
MB474577,[]
MB474578,[]
MB474579,[]
MB474580,[]
MB474581,[]
MB474582,[]
MB474583,[]
MB474584,[]
MB474585,[]
MB474586,[]
MB474587,[]
MB474588,[]
MB474589,[]
MB474590,[]
MB474591,[]
MB474592,[]
MB474593,[]
MB474594,[]
MB474595,[]
MB474596,[]
MB474597,[]
MB474598,[]
MB474599,[]
MB474600,[]
MB474601,[]
MB474602,[]
MB474603,[]
MB474604,[]
MB474605,[]
MB474606,[]
MB474607,[]
MB474608,[]
MB474609,[]
MB474610,[]
MB474611,[]
MB474612,[]
MB474613,[]
MB474614,[]
MB474615,[]
MB474616,[]
MB474617,[]
MB474618,[]
MB474619,[]
MB474620,[]
MB474621,[]
MB474622,[]
MB474623,[]
MB474624,[]
MB474625,[]
MB474626,[]
MB474627,[]
MB474628,[]
MB474629,[]
MB474630,[]
MB474631,[]
MB474632,[]
MB474633,[]
MB474634,[]
MB474635,[]
MB474636,[]
MB474637,[]
MB474638,[]
MB474639,[]
MB474640,[]
MB474641,[]
MB474642,[]
MB474643,[]
MB474644,[]
MB474645,[]
MB474646,[]
MB474647,[]
MB474648,[]
MB474649,[]
MB474650,[]
MB474651,[]
MB474652,[]
MB474653,[]
MB474654,[]
MB474655,[]
MB474656,[]
MB474657,[]
MB474658,[]
MB474659,[]
MB474660,[]
MB474661,[]
MB474662,[]
MB474663,[]
MB474664,[]
MB474665,[]
MB474666,[]
MB474667,[]
MB474668,[]
MB474669,[]
MB474670,[]
MB474671,[]
MB474672,[]
MB474673,[]
MB474674,[]
MB474675,[]
MB474676,[]
MB474677,[]
MB474678,[]
MB474679,[]
MB474680,[]
MB474681,[]
MB474682,[]
MB474683,[]
MB474684,[]
MB474685,[]
MB474686,[]
MB474687,[]
MB474688,[]
MB474689,[]
MB474690,[]
MB474691,[]
MB474692,[]
MB474693,[]
MB474694,[]
MB474695,[]
MB474696,[]
MB474697,[]
MB474698,[]
MB474699,[]
MB474700,[]
MB474701,[]
MB474702,[]
MB474703,[]
MB474704,[]
MB474705,[]
MB474706,[]
MB474707,[]
MB474708,[]
MB474709,[]
MB474710,[]
MB474711,[]
MB474712,[]
MB474713,[]
MB474714,[]
MB474715,[]
MB474716,[]
MB474717,[]
MB474718,[]
MB474719,[]
MB474720,[]
MB474721,[]
MB474722,[]
MB474723,[]
MB474724,[]
MB474725,[]
MB474726,[]
MB474727,[]
MB474728,[]
MB474729,[]
MB474730,[]
MB474731,[]
MB474732,[]
MB486625,[]
MB486626,[]
MB486627,[]
MB486628,[]
MB486629,[]
MB486630,[]
MB486631,[]
MB486632,[]
MB486633,[]
MB486634,[]
MB486635,[]
MB486636,[]
MB486637,[]
MB486638,[]
MB486639,[]
MB486640,[]
MB486641,[]
MB486642,[]
MB486643,[]
MB486644,[]
MB486645,[]
MB486646,[]
MB486647,[]
MB486648,[]
MB486649,[]
MB486650,[]
MB486651,[]
MB486652,[]
MB486653,[]
MB486654,[]
MB486655,[]
MB486656,[]
MB486657,[]
MB486658,[]
MB486659,[]
MB486660,[]
MB486661,[]
MB486662,[]
MB486663,[]
MB486664,[]
MB486665,[]
MB486666,[]
MB486667,[]
MB486668,[]
MB486669,[]
MB486670,[]
MB486671,[]
MB486672,[]
MB486673,[]
MB486674,[]
MB486675,[]
MB486676,[]
MB486677,[]
MB486678,[]
MB486679,[]
MB486680,[]
MB486681,[]
MB486682,[]
MB486683,[]
MB486684,[]
MB486685,[]
MB486686,[]
MB486687,[]
MB486688,[]
MB486689,[]
MB486690,[]
MB486691,[]
MB486692,[]
MB486693,[]
MB486694,[]
MB486695,[]
MB486696,[]
MC402497,[]
MC402498,[]
MC402499,[]
MC402500,[]
MC402501,[]
MC402502,[]
MC402503,[]
MC402504,[]
MC402505,[]
MC402506,[]
MF036115,[]
MF048802,['29185594']
MF048803,['29185594']
MF048804,['29185594']
MF048805,['29185594']
MF048806,['29185594']
MF048807,['29185594']
MF048808,['29185594']
MF073357,[]
MF073358,[]
MF073359,[]
MF077458,['29185594']
MF077459,['29185594']
MF077460,['29185594']
MF077461,['29185594']
MF077462,['29185594']
MF077463,['29185594']
MF098764,[]
MF098765,[]
MF098766,[]
MF098767,[]
MF098768,[]
MF098769,[]
MF098770,[]
MF098771,[]
MF099651,['29089591']
MF159531,['31442400']
MF167360,[]
MF173409,['28988896']
MF173410,['28988896']
MF173411,['28988896']
MF352141,[]
MF384325,['36096408']
MF434516,[]
MF434517,[]
MF434518,[]
MF434519,[]
MF434520,[]
MF434521,[]
MF434522,[]
MF438286,[]
MF510857,[]
MF574552,[]
MF574553,[]
MF574554,[]
MF574555,[]
MF574556,[]
MF574557,[]
MF574558,[]
MF574559,[]
MF574560,[]
MF574561,[]
MF574562,[]
MF574563,[]
MF574564,[]
MF574565,[]
MF574566,[]
MF574567,[]
MF574568,[]
MF574569,[]
MF574570,[]
MF574571,[]
MF574572,[]
MF574573,[]
MF574574,[]
MF574575,[]
MF574576,[]
MF574577,[]
MF574578,[]
MF574579,[]
MF574580,[]
MF574581,[]
MF574582,[]
MF574583,[]
MF574584,[]
MF574585,[]
MF574586,[]
MF574587,[]
MF574588,[]
MF593625,[]
MF629796,['28398562']
MF629797,['28398562']
MF629798,['28398562']
MF629799,['28398562']
MF664436,[]
MF692778,[]
MF783072,['36096408']
MF783073,['36096408']
MF794971,[]
MF801377,[]
MF801378,[]
MF801379,[]
MF801380,[]
MF801381,[]
MF801382,[]
MF801383,[]
MF801384,[]
MF801385,[]
MF801386,[]
MF801387,[]
MF801388,[]
MF801389,[]
MF801390,[]
MF801391,[]
MF801392,[]
MF801393,[]
MF801394,[]
MF801395,[]
MF801396,[]
MF801397,[]
MF801398,[]
MF801399,[]
MF801400,[]
MF801401,[]
MF801402,[]
MF801403,[]
MF801404,[]
MF801405,[]
MF801406,[]
MF801407,[]
MF801408,[]
MF801409,[]
MF801410,[]
MF801411,[]
MF801412,[]
MF801413,[]
MF801414,[]
MF801415,[]
MF801416,[]
MF801417,[]
MF801418,[]
MF801419,[]
MF801420,[]
MF801421,[]
MF801422,[]
MF801423,[]
MF801424,[]
MF801425,[]
MF801426,[]
MF926508,['29885620']
MF964216,[]
MF979778,['29058107']
MF979779,['29058107']
MF979780,['29058107']
MF979781,['29058107']
MF979782,['29058107']
MF979783,['29058107']
MF988734,['29346272']
MF988743,[]
MF996804,['29985788']
MG012226,[]
MG012227,[]
MG012228,[]
MG012229,[]
MG012230,[]
MG181997,[]
MG216928,[]
MG216929,[]
MG216930,[]
MG216931,[]
MG216932,[]
MG266396,[]
MG279550,[]
MG287146,[]
MG366906,[]
MG366907,[]
MG494697,[]
MG548660,['29985788']
MG548661,['29985788']
MG595216,[]
MG645981,[]
MG674718,[]
MG674719,[]
MG742364,['30053235']
MG751804,[]
MG751805,[]
MG758785,[]
MG758786,[]
MG770183,['30375482']
MG770184,['30375482']
MG770185,['30375482']
MG770186,['30375482']
MG770187,[]
MG770188,[]
MG807646,['29985788']
MG807647,['29985788']
MG808108,[]
MG808109,[]
MG808110,[]
MG808111,[]
MG808112,[]
MG808113,[]
MG808114,[]
MG808115,[]
MG808116,[]
MG808117,[]
MG808118,[]
MG808119,[]
MG808120,[]
MG808121,[]
MG808122,[]
MG808123,[]
MG808124,[]
MG808125,[]
MG808126,[]
MG808127,[]
MG808128,[]
MG808129,[]
MG808130,[]
MG808131,[]
MG808132,[]
MG808133,[]
MG808134,[]
MG808135,[]
MG808136,[]
MG808137,[]
MG827392,[]
MG877675,[]
MG912101,[]
MG912102,[]
MG967272,[]
MG967273,[]
MG967274,[]
MG967275,[]
MG967276,[]
MG967277,[]
MG967278,[]
MG976700,[]
MG982560,['30334729']
MG982561,['30334729']
MG982562,['30334729']
MG982563,['30334729']
MG982564,['30334729']
MG982565,['30334729']
MG982566,['30334729']
MG982567,['30334729']
MG982568,['30334729']
MG982569,['30334729']
MG982570,['30334729']
MG982571,['30334729']
MG982572,['30334729']
MG982573,['30334729']
MH013290,['29985788']
MH027651,['30776139']
MH055376,['29925661']
MH055377,['29925661']
MH055378,['29925661']
MH055379,['29925661']
MH061852,[]
MH061853,[]
MH061854,[]
MH061855,[]
MH061856,[]
MH061857,[]
MH061858,[]
MH061859,[]
MH061860,[]
MH061861,[]
MH061862,[]
MH061863,[]
MH061864,[]
MH061865,[]
MH061866,[]
MH061867,[]
MH061868,[]
MH061869,[]
MH061870,[]
MH061871,[]
MH061872,[]
MH061873,[]
MH061874,[]
MH061875,[]
MH061876,[]
MH061877,[]
MH061878,[]
MH061879,[]
MH061880,[]
MH061881,[]
MH061882,[]
MH061883,[]
MH061884,[]
MH061885,[]
MH061886,[]
MH061887,[]
MH061888,[]
MH061889,[]
MH061890,[]
MH061891,[]
MH061892,[]
MH061893,[]
MH061894,[]
MH061895,[]
MH061896,[]
MH061897,[]
MH061898,[]
MH061899,[]
MH061900,[]
MH061901,[]
MH061902,[]
MH061903,[]
MH061904,[]
MH061905,[]
MH061906,[]
MH061907,[]
MH061908,[]
MH061909,[]
MH061910,[]
MH061911,[]
MH061912,[]
MH061913,[]
MH061914,[]
MH061915,[]
MH063259,[]
MH063260,['31442400']
MH063261,['31442400']
MH063262,['31442400']
MH063263,['31442400']
MH063264,['31442400']
MH063265,['31442400']
MH119185,[]
MH130042,[]
MH130043,[]
MH130044,[]
MH130094,[]
MH130095,[]
MH130096,[]
MH130097,[]
MH130098,[]
MH130099,[]
MH130100,[]
MH130101,[]
MH130102,[]
MH130103,[]
MH130104,[]
MH130105,[]
MH130106,[]
MH130107,[]
MH130108,[]
MH130109,[]
MH157195,[]
MH157196,[]
MH157197,[]
MH157198,[]
MH157199,[]
MH157200,[]
MH157201,[]
MH157202,[]
MH157203,[]
MH157204,[]
MH157205,[]
MH157206,[]
MH157207,[]
MH157208,[]
MH157209,[]
MH157210,[]
MH157211,[]
MH157212,[]
MH157213,[]
MH157214,[]
MH158236,[]
MH158237,[]
MH179340,[]
MH179341,[]
MH249062,[]
MH249063,[]
MH249064,[]
MH249065,[]
MH249066,[]
MH249067,[]
MH252914,['30776139']
MH252915,['30776139']
MH252916,['30776139']
MH252917,['30776139']
MH252918,['30776139']
MH252919,['30776139']
MH252920,[]
MH255601,[]
MH255606,[]
MH306200,['30552880']
MH306201,['30552880']
MH306202,['30552880']
MH306203,['30552880']
MH306204,['30552880']
MH306209,[]
MH306210,[]
MH306211,[]
MH306212,[]
MH306213,[]
MH306214,[]
MH306215,[]
MH306216,[]
MH368551,[]
MH379777,[]
MH379778,[]
MH379779,[]
MH379780,[]
MH379781,[]
MH379782,[]
MH379783,[]
MH379784,[]
MH430250,[]
MH430251,[]
MH430252,[]
MH430253,[]
MH513598,[]
MH513599,[]
MH513600,[]
MH544701,[]
MH675619,[]
MH675620,[]
MH675621,[]
MH675622,[]
MH675623,[]
MH675624,[]
MH675625,[]
MH675626,[]
MH675627,[]
MH675628,[]
MH675629,[]
MH675630,[]
MH718911,[]
MH718912,[]
MH718913,[]
MH718914,[]
MH718915,[]
MH718916,[]
MH718917,[]
MH718918,[]
MH718919,[]
MH718920,[]
MH718921,[]
MH718922,[]
MH718923,[]
MH720336,['30758394']
MH720337,['30758394']
MH763832,[]
MH763833,[]
MH882527,['30405055']
MH882528,['30405055']
MH882529,['30405055']
MH882530,['30405055']
MH882531,['30405055']
MH882532,['30405055']
MH882533,['30405055']
MH882534,['30405055']
MH882535,['30405055']
MH882536,['30405055']
MH882537,['30405055']
MH882538,['30405055']
MH882539,['30405055']
MH882540,['30405055']
MH882541,['30405055']
MH882542,['30405055']
MH882543,['30405055']
MH882544,['30405055']
MH882545,['30405055']
MH882546,['30405055']
MH882547,['30405055']
MH882548,['30405055']
MH882549,['30405055']
MH900227,[]
MH916801,[]
MH916802,[]
MH916803,[]
MH916804,[]
MH916805,[]
MH916806,[]
MH931170,['30385750']
MH931171,['30385750']
MH931172,['30385750']
MH931173,['30385750']
MH931174,['30385750']
MH931175,['30385750']
MH931176,['30385750']
MH931177,['30385750']
MH938334,[]
MI320116,[]
MI320117,[]
MI320118,[]
MI320119,[]
MI320120,[]
MI320121,[]
MI320122,[]
MI320123,[]
MI320124,[]
MI320125,[]
MI320126,[]
MI320127,[]
MI320128,[]
MI320129,[]
MI320130,[]
MI320131,[]
MI320132,[]
MK028538,[]
MK028539,[]
MK028540,[]
MK028541,[]
MK028542,[]
MK028543,[]
MK028544,[]
MK028545,[]
MK028546,[]
MK028547,[]
MK028548,[]
MK028549,[]
MK028550,[]
MK028551,[]
MK028552,[]
MK028553,[]
MK028554,[]
MK028555,[]
MK028556,[]
MK028557,[]
MK028857,[]
MK028858,[]
MK028859,[]
MK028860,[]
MK028861,[]
MK028862,[]
MK049245,[]
MK049246,[]
MK049247,[]
MK049248,[]
MK049249,[]
MK049250,[]
MK049251,[]
MK049252,[]
MK050090,[]
MK105975,[]
MK216687,[]
MK216688,[]
MK216689,[]
MK216690,[]
MK216691,[]
MK216692,[]
MK216693,[]
MK216694,[]
MK216695,[]
MK216696,[]
MK216697,[]
MK216698,[]
MK216699,[]
MK216700,[]
MK216701,[]
MK216702,[]
MK216703,[]
MK216704,[]
MK216705,[]
MK216706,[]
MK216707,[]
MK216708,[]
MK216709,[]
MK216710,[]
MK216711,[]
MK216712,[]
MK216713,[]
MK216714,[]
MK216715,[]
MK216716,[]
MK216717,[]
MK216718,[]
MK216719,[]
MK216720,[]
MK216721,[]
MK216722,[]
MK216723,[]
MK216724,[]
MK216725,[]
MK216726,[]
MK216727,[]
MK216728,[]
MK216729,[]
MK216730,[]
MK216731,[]
MK216732,[]
MK216733,[]
MK216734,[]
MK216735,[]
MK216736,[]
MK216737,[]
MK216738,[]
MK216739,[]
MK216740,[]
MK216741,[]
MK216742,[]
MK216743,[]
MK216744,[]
MK216745,[]
MK216746,[]
MK216747,[]
MK216748,[]
MK237993,[]
MK237994,[]
MK237995,[]
MK237996,[]
MK237997,[]
MK237998,[]
MK237999,[]
MK238035,['30703541']
MK238036,['30703541']
MK238037,['30703541']
MK238038,['30703541']
MK238039,['30703541']
MK241415,[]
MK241416,[]
MK241417,[]
MK269353,['31442400']
MK269354,[]
MK269355,[]
MK269356,['31442400']
MK269357,['31442400']
MK269358,[]
MK269359,[]
MK269360,['31442400']
MK269361,[]
MK271800,[]
MK271801,[]
MK271802,[]
MK271803,[]
MK271804,[]
MK271805,[]
MK271806,[]
MK271807,[]
MK271808,[]
MK271809,[]
MK271810,[]
MK271811,[]
MK271812,[]
MK271813,[]
MK271814,[]
MK271815,[]
MK271816,[]
MK271817,[]
MK271818,[]
MK271819,[]
MK271820,[]
MK271821,[]
MK271822,[]
MK271823,[]
MK271824,[]
MK271825,[]
MK271826,[]
MK271827,[]
MK271828,[]
MK271829,[]
MK271830,[]
MK271831,[]
MK271832,[]
MK271833,[]
MK271834,[]
MK271835,[]
MK271836,[]
MK271837,[]
MK271838,[]
MK271839,[]
MK271840,[]
MK271841,[]
MK271842,[]
MK271843,[]
MK271844,[]
MK271845,[]
MK271846,[]
MK271847,[]
MK271848,[]
MK271849,[]
MK271850,[]
MK271851,[]
MK271852,[]
MK271853,[]
MK271854,[]
MK271855,[]
MK271856,[]
MK271857,[]
MK271858,[]
MK271859,[]
MK271860,[]
MK271861,[]
MK271862,[]
MK271863,[]
MK271864,[]
MK271865,[]
MK271866,[]
MK271867,[]
MK271868,[]
MK271869,[]
MK271870,[]
MK271871,[]
MK271872,[]
MK271873,[]
MK271874,[]
MK271875,[]
MK271876,[]
MK271877,[]
MK271878,[]
MK282406,[]
MK282407,[]
MK282408,[]
MK282409,[]
MK282410,[]
MK282411,[]
MK282412,[]
MK371391,['33064724']
MK371392,['33064724']
MK371393,['33064724']
MK425207,['31093663']
MK434848,[]
MK451708,[]
MK560178,['31442400']
MK560179,['31442400']
MK566202,[]
MK637518,[]
MK637519,[]
MK696546,[]
MK696547,[]
MK696548,[]
MK696549,[]
MK696550,[]
MK696551,[]
MK713748,[]
MK713750,[]
MK829152,['31559967']
MK829153,['31559967']
MK829154,['31559967']
MK852163,['31442386']
MK890246,[]
MK972825,[]
MK972826,[]
MK984721,['32282830']
MM197564,[]
MM197565,[]
MM197566,[]
MM197567,[]
MM197568,[]
MM197569,[]
MM197570,[]
MM197571,[]
MM197572,[]
MM197573,[]
MM197574,[]
MM197575,[]
MM197576,[]
MM197577,[]
MM197578,[]
MM197579,[]
MM197580,[]
MM197581,[]
MM197582,[]
MM197583,[]
MM197584,[]
MM197585,[]
MM197586,[]
MM197587,[]
MM197588,[]
MM197589,[]
MM197590,[]
MM197591,[]
MM197592,[]
MM197593,[]
MM197594,[]
MM197595,[]
MM197596,[]
MM197597,[]
MM197598,[]
MM197599,[]
MM197600,[]
MM197601,[]
MM197602,[]
MM197603,[]
MM197604,[]
MM197605,[]
MM197606,[]
MM197607,[]
MM197608,[]
MM197609,[]
MM197610,[]
MM197611,[]
MM197612,[]
MM197613,[]
MM197614,[]
MM197615,[]
MM197616,[]
MM197617,[]
MM197618,[]
MM197619,[]
MM197620,[]
MM197621,[]
MM197622,[]
MM197623,[]
MM197624,[]
MM197625,[]
MM197626,[]
MM197627,[]
MM197628,[]
MM197629,[]
MM197630,[]
MM197631,[]
MM197632,[]
MM197633,[]
MM197634,[]
MM197635,[]
MM197636,[]
MM197637,[]
MM197638,[]
MM197639,[]
MM197640,[]
MM197641,[]
MM197642,[]
MM197643,[]
MM197644,[]
MM197645,[]
MM197646,[]
MM197647,[]
MM197648,[]
MM197649,[]
MM197650,[]
MM197651,[]
MM197652,[]
MM197653,[]
MM197654,[]
MM197655,[]
MM197656,[]
MM197657,[]
MM197658,[]
MM197659,[]
MM197660,[]
MM197661,[]
MM197662,[]
MM197663,[]
MM197664,[]
MM197665,[]
MM197666,[]
MM197667,[]
MM197668,[]
MM197669,[]
MM197670,[]
MM197671,[]
MM197672,[]
MM197673,[]
MM197674,[]
MM197675,[]
MM197676,[]
MM197677,[]
MM197678,[]
MM197679,[]
MM197680,[]
MM197681,[]
MM197682,[]
MM197683,[]
MM197684,[]
MM197685,[]
MM197686,[]
MM197687,[]
MM197688,[]
MM197689,[]
MM197690,[]
MM197691,[]
MM197692,[]
MM197693,[]
MM197694,[]
MM197695,[]
MM197696,[]
MM197697,[]
MM197698,[]
MM197699,[]
MM197700,[]
MM197701,[]
MM197702,[]
MM197703,[]
MM197704,[]
MM197705,[]
MM197706,[]
MM197707,[]
MM197708,[]
MM197709,[]
MM197710,[]
MM197711,[]
MM197712,[]
MM197713,[]
MM197714,[]
MM197715,[]
MM197716,[]
MM197717,[]
MM197718,[]
MM197719,[]
MM197720,[]
MM197721,[]
MM197722,[]
MM197723,[]
MM197724,[]
MM197725,[]
MM197726,[]
MM197727,[]
MM197728,[]
MM197729,[]
MM197730,[]
MM197731,[]
MM197732,[]
MM197733,[]
MM197734,[]
MM801943,[]
MM801944,[]
MM801945,[]
MM801946,[]
MM801947,[]
MM801948,[]
MM801949,[]
MM801950,[]
MM801951,[]
MM853929,[]
MN025403,[]
MN100039,['31434319']
MN101548,[]
MN101549,[]
MN101550,[]
MN124090,['31434319']
