Unnamed: 0,Locus,Pubmed_number,pmcid
308,EU127898,18394292,PMC2570911
309,EU127899,18394292,PMC2570911
310,EU127900,18394292,PMC2570911
311,EU303192,18218114,PMC2263041
312,EU448448,19478273,
313,EU448449,19478273,
314,EU448450,19478273,
315,EU448451,19478273,
316,EU448452,19478273,
317,EU448453,19478273,
318,EU448454,19478273,
319,EU448455,19478273,
320,EU448456,19478273,
321,EU448457,19478273,
322,EU448458,19478273,
323,EU448459,19478273,
324,EU448460,19478273,
325,EU448461,19478273,
326,EU448462,19478273,
327,EU448463,19478273,
328,EU448464,19478273,
331,EU518595,18945183,
332,EU518596,18945183,
333,EU522110,18945183,
347,FJ196849,21703015,PMC3138434
348,FJ196850,21703015,PMC3138434
349,FJ225466,19193262,PMC2662655
350,FJ225467,19193262,PMC2662655
351,FJ225468,19193262,PMC2662655
352,FJ225469,19193262,PMC2662655
353,FJ225470,19193262,PMC2662655
354,FJ225471,19193262,PMC2662655
385,FJ828986,1438242,PMC50373
386,FJ828987,1438242,PMC50373
411,FM986664,19463715,
412,FM986665,19463715,
413,FM986666,19463715,
414,FM986667,19463715,
415,FM986668,19463715,
416,FM986669,19463715,
417,FM986670,19463715,
418,FM986671,19463715,
419,FM986672,19463715,
420,FM986673,19463715,
421,FM986674,19463715,
436,GQ139547,19891873,PMC2857240
437,GQ139548,19891873,PMC2857240
438,GQ139549,19891873,PMC2857240
439,GQ139550,19891873,PMC2857240
440,GQ139551,19891873,PMC2857240
441,GQ139552,19891873,PMC2857240
442,GQ139553,19891873,PMC2857240
443,GQ139554,19891873,PMC2857240
444,GQ139555,19891873,PMC2857240
445,GQ139556,19891873,PMC2857240
446,GQ139557,19891873,PMC2857240
447,GQ139558,19891873,PMC2857240
448,GQ139559,19891873,PMC2857240
449,GQ139560,19891873,PMC2857240
450,GQ139561,19891873,PMC2857240
451,GQ139562,19891873,PMC2857240
452,GQ139563,19891873,PMC2857240
453,GQ139564,19891873,PMC2857240
454,GQ139565,19891873,PMC2857240
455,GQ139566,19891873,PMC2857240
456,GQ139567,19891873,PMC2857240
457,GQ139568,19891873,PMC2857240
458,GQ139569,19891873,PMC2857240
459,GQ139570,19891873,PMC2857240
460,GQ139571,19891873,PMC2857240
461,GQ139572,19891873,PMC2857240
462,GQ139573,19891873,PMC2857240
463,GQ139574,19891873,PMC2857240
464,GQ139575,19891873,PMC2857240
465,GQ139576,19891873,PMC2857240
466,GQ139577,19891873,PMC2857240
467,GQ139578,19891873,PMC2857240
468,GQ139579,19891873,PMC2857240
469,GQ139580,19891873,PMC2857240
470,GQ139581,19891873,PMC2857240
471,GQ139582,19891873,PMC2857240
